ScientificName,SpecCode,CommonName,Environments,Subspecies
Charax apurensis,53082,,['fresh'],[]
Charax awa,68782,,['fresh'],[]
Charax caudimaculatus,52062,Saicanga,['fresh'],[]
Charax condei,26390,Kieinschuppiger Glassalmler,['fresh'],[]
Charax delimai,67620,,['fresh'],[]
Charax gibbosus,12346,Dentudo jorobado chico,['fresh'],[]
Charax hemigrammus,53080,,['fresh'],[]
Charax leticiae,52529,Dentudo,['fresh'],[]
Charax macrolepis,53419,,['fresh'],[]
Charax metae,51849,,['fresh'],[]
Charax michaeli,52530,,['fresh'],[]
Charax niger,52531,,['fresh'],[]
Charax notulatus,52533,,['fresh'],[]
Charax pauciradiatus,27858,Achina chiba,['fresh'],[]
Charax rupununi,53081,,['fresh'],[]
Charax stenopterus,23415,Corcunda,['fresh'],[]
Charax tectifer,53078,Denton,['fresh'],[]
Charax unimaculatus,52538,,['fresh'],[]
