ScientificName,SpecCode,CommonName,Environments,Subspecies
Cheirodon australe,10390,Pocha,['fresh'],[]
Cheirodon galusdae,10391,Chilesalmler,['fresh'],[]
Cheirodon ibicuhiensis,53496,Blaustrichtetra,['fresh'],[]
Cheirodon interruptus,12348,Lambari,['fresh'],[]
Cheirodon jaguaribensis,64814,Piabinha,['fresh'],[]
Cheirodon kiliani,10392,Pocha,['fresh'],[]
Cheirodon luelingi,64815,,['fresh'],[]
Cheirodon ortegai,61047,奥氏宝莲灯鱼,['fresh'],[]
Cheirodon parahybae,58305,Lambari,['fresh'],[]
Cheirodon pisciculus,10393,Pocha,['fresh'],[]
