ScientificName,SpecCode,CommonName,Environments,Subspecies
Hyphessobrycon acaciae,65843,,['fresh'],[]
Hyphessobrycon agulha,51019,Timanttijuovatetra,['fresh'],[]
Hyphessobrycon albolineatus,51944,Valkojuovatetra,['fresh'],[]
Hyphessobrycon amandae,12376,Ember tetra,['fresh'],[]
Hyphessobrycon amapaensis,56429,Hehkujuovatetra,['fresh'],[]
Hyphessobrycon amaronensis,65534,,['fresh'],[]
Hyphessobrycon arianae,57986,,['fresh'],[]
Hyphessobrycon auca,62326,,['fresh'],[]
Hyphessobrycon axelrodi,12397,Barwieniec poziomkowy,"['fresh', 'brackish']",[]
Hyphessobrycon balbus,50985,,['fresh'],[]
Hyphessobrycon bentosi,12378,Bystrzyk ozdobny,['fresh'],[]
Hyphessobrycon bifasciatus,12379,Bystrzyk dwupregi,['fresh'],[]
Hyphessobrycon borealis,63088,,['fresh'],[]
Hyphessobrycon boulengeri,51112,Lambari,['fresh'],[]
Hyphessobrycon brumado,65862,Piaba,['fresh'],[]
Hyphessobrycon cachimbensis,51025,,['fresh'],[]
Hyphessobrycon catableptus,53436,,['fresh'],[]
Hyphessobrycon chocoensis,66787,,['fresh'],[]
Hyphessobrycon clavatus,67825,,['fresh'],[]
Hyphessobrycon coelestinus,51020,Taivastetra,['fresh'],[]
Hyphessobrycon columbianus,60560,Safiiritetra,['fresh'],[]
Hyphessobrycon comodoro,70047,Emerald green tetra,['fresh'],[]
Hyphessobrycon compressus,46296,Billum,['fresh'],[]
Hyphessobrycon condotensis,57999,,['fresh'],[]
Hyphessobrycon copelandi,27990,Bystrzyk kopelanda,['fresh'],[]
Hyphessobrycon cyanotaenia,62969,,['fresh'],[]
Hyphessobrycon diancistrus,52556,,['fresh'],[]
Hyphessobrycon diastatos,67721,,['fresh'],[]
Hyphessobrycon dorsalis,67524,,['fresh'],[]
Hyphessobrycon duragenys,51006,,['fresh'],[]
Hyphessobrycon ecuadorensis,58393,Sardinita,['fresh'],[]
