ScientificName,SpecCode,CommonName,Environments,Subspecies
Odontostilbe avanhandava,70159,,['fresh'],[]
Odontostilbe dialeptura,53307,Pygmy tetra,['fresh'],[]
Odontostilbe dierythrura,51169,,['fresh'],[]
Odontostilbe ecuadorensis,62757,,['fresh'],[]
Odontostilbe euspilurus,66471,,['fresh'],[]
Odontostilbe fugitiva,51127,Hohtoviirutetra,['fresh'],[]
Odontostilbe littoris,61979,,['fresh'],[]
Odontostilbe microcephala,51167,mojarra,['fresh'],[]
Odontostilbe mitoptera,51170,,['fresh'],[]
Odontostilbe nareuda,62882,,['fresh'],[]
Odontostilbe pao,63840,,['fresh'],[]
Odontostilbe paraguayensis,51166,,['fresh'],[]
Odontostilbe parecis,62883,,['fresh'],[]
Odontostilbe pequira,23426,Kultapilkkutetra,['fresh'],[]
Odontostilbe pulchra,61384,,['fresh'],[]
Odontostilbe roloffi,51171,Sardinita,['fresh'],[]
Odontostilbe splendida,63839,,['fresh'],[]
Odontostilbe stenodon,60497,,['fresh'],[]
Odontostilbe weitzmani,70158,,['fresh'],[]
