ScientificName,SpecCode,CommonName,Environments,Subspecies
Tetragonopterus anostomus,66146,,['fresh'],[]
Tetragonopterus araguaiensis,67018,,['fresh'],[]
Tetragonopterus argenteus,4502,Chanquete,['fresh'],[]
Tetragonopterus carvalhoi,66008,,['fresh'],[]
Tetragonopterus chalceus,26475,Asina siba,['fresh'],[]
Tetragonopterus daguae,51288,Pastellikiiltotetra,['fresh'],[]
Tetragonopterus denticulatus,67017,,['fresh'],[]
Tetragonopterus franciscoensis,69430,Piaba-rapadura,['fresh'],[]
Tetragonopterus georgiae,27993,Bewoyo weti fisi,['fresh'],[]
Tetragonopterus juruena,69433,,['fresh'],[]
Tetragonopterus kuluene,69431,,['fresh'],[]
Tetragonopterus manaos,70516,,['fresh'],[]
Tetragonopterus ommatus,69432,,['fresh'],[]
Tetragonopterus rarus,62336,,['fresh'],[]
Tetragonopterus signatus,66130,,['fresh'],[]
