ScientificName,SpecCode,CommonName,Environments,Subspecies
Chlopsis apterus,60608,Morena falsa hocico rayado,['salt'],[]
Chlopsis bicollaris,46076,Bicolor false moray,['salt'],[]
Chlopsis bicolor,11949,Ancidda 'mpiriali,['salt'],[]
Chlopsis bidentatus,60666,Kahelihambune väätangerjas,['salt'],[]
Chlopsis dentatus,9041,Anguililla Moteada,['salt'],[]
Chlopsis kazuko,60609,Kazuko väätangerjas,['salt'],[]
Chlopsis longidens,60624,Kihv-väätangerjas,['salt'],[]
Chlopsis nanhaiensis,68258,,['salt'],[]
Chlopsis olokun,9184,Olokun-väätangerjas,['salt'],[]
Chlopsis orientalis,68257,,['salt'],[]
Chlopsis sagmacollaris,68259,,['salt'],[]
Chlopsis slusserorum,60665,Melaneesia väätangerjas,['salt'],[]
