ScientificName,SpecCode,CommonName,Environments,Subspecies
Aulonocara aquilonium,60047,,['fresh'],[]
Aulonocara auditor,2177,Chisawasawa,['fresh'],[]
Aulonocara baenschi,2179,Baenschi keiserkirevahven,['fresh'],[]
Aulonocara brevinidus,60046,,['fresh'],[]
Aulonocara brevirostre,2178,Lyhytkuonokeisariahven,['fresh'],[]
Aulonocara ethelwynnae,2181,Chisawasawa,['fresh'],[]
Aulonocara gertrudae,60045,Chigong'u,['fresh'],[]
Aulonocara guentheri,2174,Chisawasawa,['fresh'],[]
Aulonocara hansbaenschi,2182,"Aulonocara ""Red flush""",['fresh'],[]
Aulonocara hueseri,2183,Aulonocara white top,['fresh'],[]
Aulonocara jacobfreibergi,2184,Chisawasawa,['fresh'],[]
Aulonocara kandeense,2187,Blaue Orchideen-Aulonocara,['fresh'],[]
Aulonocara koningsi,62427,,['fresh'],[]
Aulonocara korneliae,2185,Aulonocara blue gold,['fresh'],[]
Aulonocara maylandi,2186,Chisawasawa,['fresh'],[]
Aulonocara nyassae,2173,African peacock,['fresh'],[]
Aulonocara rostratum,2176,Chisawasawa,['fresh'],[]
Aulonocara saulosi,2188,Aulonocara metallic green,['fresh'],[]
Aulonocara steveni,2189,Chisawasawa,['fresh'],[]
Aulonocara stonemani,2145,Chisawasawa,['fresh'],[]
Aulonocara stuartgranti,2190,Blå kejser,['fresh'],[]
Aulonocara trematocephalum,2180,Chisawasawa,['fresh'],[]
