ScientificName,SpecCode,CommonName,Environments,Subspecies
Australoheros acaroides,65803,,"['fresh', 'brackish']",[]
Australoheros angiru,66224,,['fresh'],[]
Australoheros autochthon,68179,,['fresh'],[]
Australoheros autrani,64764,,['fresh'],[]
Australoheros barbosae,64765,,['fresh'],[]
Australoheros capixaba,65513,,['fresh'],[]
Australoheros charrua,63664,,['fresh'],[]
Australoheros facetus,4679,Acará,['fresh'],[]
Australoheros forquilha,63663,,['fresh'],[]
Australoheros guarani,63666,,['fresh'],[]
Australoheros ipatinguensis,64766,,['fresh'],[]
Australoheros kaaygua,63097,,['fresh'],[]
Australoheros macacuensis,64767,,['fresh'],[]
Australoheros macaensis,64772,,['fresh'],[]
Australoheros mattosi,66501,,['fresh'],[]
Australoheros minuano,63665,,['fresh'],[]
Australoheros montanus,66502,,['fresh'],[]
Australoheros muriae,64773,,['fresh'],[]
Australoheros paraibae,64775,,['fresh'],[]
Australoheros perdi,66160,,['fresh'],[]
Australoheros ribeirae,63857,,['fresh'],[]
Australoheros robustus,64776,,['fresh'],[]
Australoheros sanguineus,67169,,['fresh'],[]
Australoheros saquarema,64777,,['fresh'],[]
Australoheros scitulus,61660,,['fresh'],[]
Australoheros taura,65043,,['fresh'],[]
Australoheros tavaresi,66503,,['fresh'],[]
Australoheros tembe,51527,chanchita,['fresh'],[]
Australoheros ykeregua,66225,,['fresh'],[]
