ScientificName,SpecCode,CommonName,Environments,Subspecies
Chindongo ater,2356,Mbuna,['fresh'],[]
Chindongo bellicosus,68971,,['fresh'],[]
Chindongo cyaneus,2361,Cyan hap,['fresh'],[]
Chindongo demasoni,53380,Demasons cichlide,['fresh'],[]
Chindongo elongatus,2363,Elongate mbuna,['fresh'],[]
Chindongo flavus,2365,Mbuna,['fresh'],[]
Chindongo heteropictus,2371,异拟丽鱼,['fresh'],[]
Chindongo longior,50872,長擬麗魚,['fresh'],[]
Chindongo minutus,2378,Mbuna,['fresh'],[]
Chindongo saulosi,8341,Mbuna,['fresh'],[]
Chindongo socolofi,2380,Mbuna,['fresh'],[]
