ScientificName,SpecCode,CommonName,Environments,Subspecies
Chromidotilapia cavalliensis,8634,穴緣邊麗魚,['fresh'],[]
Chromidotilapia elongata,60335,,['fresh'],[]
Chromidotilapia guntheri,8159,Akpa-tsu,['fresh'],[]
Chromidotilapia kingsleyae,8161,Barwniak Kingsleja,['fresh'],[]
Chromidotilapia linkei,8162,Linkes Prachtbuntbarsch,['fresh'],[]
Chromidotilapia mamonekenei,60336,,['fresh'],[]
Chromidotilapia melaniae,61540,,['fresh'],[]
Chromidotilapia mrac,60337,,['fresh'],[]
Chromidotilapia nana,61541,,['fresh'],[]
Chromidotilapia regani,63519,,['fresh'],[]
Chromidotilapia schoutedeni,8163,斯氏結耙非鯽,['fresh'],[]
