ScientificName,SpecCode,CommonName,Environments,Subspecies
Copadichromis atripinnis,59740,,['fresh'],[]
Copadichromis azureus,8164,Happy,['fresh'],[]
Copadichromis borleyi,2312,Chakhuta,['fresh'],[]
Copadichromis chizumuluensis,62868,,['fresh'],[]
Copadichromis chrysonotus,2288,Blue fish,['fresh'],[]
Copadichromis cyaneus,2290,Blauweißer Utaka-Malawisee-Buntbarsch,['fresh'],[]
Copadichromis cyanocephalus,62872,,['fresh'],[]
Copadichromis diplostigma,62870,,['fresh'],[]
Copadichromis geertsi,60338,,['fresh'],[]
Copadichromis ilesi,60339,Valkoharjautaka,['fresh'],[]
Copadichromis insularis,62871,,['fresh'],[]
Copadichromis jacksoni,2311,Chilibanga,['fresh'],[]
Copadichromis likomae,2285,Happy,['fresh'],[]
Copadichromis mbenjii,8361,Happy,['fresh'],[]
Copadichromis melas,62874,,['fresh'],[]
Copadichromis mloto,2295,Happy,['fresh'],[]
Copadichromis nkatae,2287,Happy,['fresh'],[]
Copadichromis parvus,62873,,['fresh'],[]
Copadichromis pleurostigma,2283,Happy,['fresh'],[]
Copadichromis pleurostigmoides,2284,Happy,['fresh'],[]
Copadichromis quadrimaculatus,2286,Chibalala,['fresh'],[]
Copadichromis trewavasae,60340,Tummavatsautaka,['fresh'],[]
Copadichromis trimaculatus,2289,Dreifleck-Buntbarsch,['fresh'],[]
Copadichromis verduyni,8338,Haplochromis borleyi eastern,['fresh'],[]
Copadichromis virginalis,2296,Ambulumatali,['fresh'],[]
