ScientificName,SpecCode,CommonName,Environments,Subspecies
Coptodon bakossiorum,10670,巴可非鯽,['fresh'],[]
Coptodon bemini,8897,Punatilapia,['fresh'],[]
Coptodon bythobates,10672,深非鯽,['fresh'],[]
Coptodon cameronensis,8910,金馬倫非鯽,['fresh'],[]
Coptodon camerunensis,8911,喀麥隆非鯽,['fresh'],[]
Coptodon coffea,8912,科菲非鯽,['fresh'],[]
Coptodon congica,8913,康傑非鯽,['fresh'],[]
Coptodon dageti,2486,Epia,['fresh'],[]
Coptodon deckerti,8914,德氏非鯽,['fresh'],[]
Coptodon discolor,2487,杂色非鲫,['fresh'],[]
Coptodon ejagham,65867,,['fresh'],[]
Coptodon flavus,10673,黃非鯽,['fresh'],[]
Coptodon fusiforme,65870,,['fresh'],[]
Coptodon guineensis,2488,Acung,"['fresh', 'brackish', 'salt']",[]
Coptodon gutturosus,10675,大咽非鯽,['fresh'],[]
Coptodon imbrifernus,10677,瓦鱗非鯽,['fresh'],[]
Coptodon ismailiaensis,61390,,['fresh'],[]
Coptodon konkourensis,66557,,['fresh'],[]
Coptodon kottae,8919,Mustavatsatilapia,['fresh'],[]
Coptodon louka,8921,Keltatilapia,"['fresh', 'brackish']",[]
Coptodon margaritacea,9223,Helmitilapia,['fresh'],[]
Coptodon nigrans,65868,,['fresh'],[]
Coptodon nyongana,8925,Ruskoraitatilapia,['fresh'],[]
Coptodon rendalli,1397,Acará tilápia,"['fresh', 'brackish']",[]
Coptodon rheophila,8928,Virtatilapia,['fresh'],[]
Coptodon snyderae,10678,施氏非鯽,['fresh'],[]
Coptodon spongotroktis,10679,綿非鯽,['fresh'],[]
Coptodon tholloni,8932,Carpe,['fresh'],[]
Coptodon thysi,10680,賽氏非鯽,['fresh'],[]
Coptodon walteri,2490,Ruskotilapia,['fresh'],[]
Coptodon zillii,1390,Akpadi sila,"['fresh', 'brackish']",[]
