ScientificName,SpecCode,CommonName,Environments,Subspecies
Gymnogeophagus australis,12374,acará,['fresh'],[]
Gymnogeophagus balzanii,12375,Argentine humphead,['fresh'],[]
Gymnogeophagus caaguazuensis,64523,,['fresh'],[]
Gymnogeophagus che,61387,,['fresh'],[]
Gymnogeophagus constellatus,69371,,['fresh'],[]
Gymnogeophagus gymnogenys,12377,Cará,['fresh'],[]
Gymnogeophagus jaryi,69374,,['fresh'],[]
Gymnogeophagus labiatus,57730,Cará,['fresh'],[]
Gymnogeophagus lacustris,52196,Laguunitonkija,['fresh'],[]
Gymnogeophagus lipokarenos,69373,,['fresh'],[]
Gymnogeophagus mekinos,69370,Elongated eartheater,['fresh'],[]
Gymnogeophagus meridionalis,52194,Castañeta,['fresh'],[]
Gymnogeophagus missioneiro,69372,,['fresh'],[]
Gymnogeophagus peliochelynion,69377,,['fresh'],[]
Gymnogeophagus pseudolabiatus,69369,,['fresh'],[]
Gymnogeophagus rhabdotus,12311,Cará,['fresh'],[]
Gymnogeophagus setequedas,47051,Acará,['fresh'],[]
Gymnogeophagus taroba,69376,,['fresh'],[]
Gymnogeophagus terrapurpura,69375,,['fresh'],[]
Gymnogeophagus tiraparae,64948,,['fresh'],[]
