ScientificName,SpecCode,CommonName,Environments,Subspecies
Herichthys bartoni,6318,Bartoni Cichlide,['fresh'],[]
Herichthys carpintis,26772,Lowland cichlid,['fresh'],[]
Herichthys cyanoguttatus,3614,Helmiäiskirjoahven,['fresh'],[]
Herichthys deppii,57876,Mojarra del sur,['fresh'],[]
Herichthys labridens,6319,Blackcheek cichlid,['fresh'],[]
Herichthys minckleyi,6320,Cuatro Ciénegas cichlid,['fresh'],[]
Herichthys molango,67363,Aztec cichlid,['fresh'],[]
Herichthys pame,67362,Mojarra caracolera blanca,['fresh'],[]
Herichthys pantostictus,6321,Chairel cichlid,"['fresh', 'brackish']",[]
Herichthys pratinus,67359,Green cichlid,['fresh'],[]
Herichthys steindachneri,6322,Mojarra,['fresh'],[]
Herichthys tamasopoensis,57863,Mojarra del Tamasopo,['fresh'],[]
Herichthys tepehua,67634,,['fresh'],[]
Herichthys teporatus,68171,,['fresh'],[]
