ScientificName,SpecCode,CommonName,Environments,Subspecies
Labidochromis caeruleus,2327,Blue streak hap,['fresh'],[]
Labidochromis chisumulae,2328,Utaka,['fresh'],[]
Labidochromis flavigulis,2329,Chisumulu pearl,['fresh'],[]
Labidochromis freibergi,2330,Keijuhuuliahven,['fresh'],[]
Labidochromis gigas,2331,Isohuuliahven,['fresh'],[]
Labidochromis heterodon,2332,Oliivihuuliahven,['fresh'],[]
Labidochromis ianthinus,2333,Malvahuuliahven,['fresh'],[]
Labidochromis joanjohnsonae,2345,Bele,['fresh'],[]
Labidochromis lividus,2334,Luolahuuliahven,['fresh'],[]
Labidochromis maculicauda,2335,Kirjopyrstöhuuliahven,['fresh'],[]
Labidochromis mathotho,8351,馬索鑷麗魚,['fresh'],[]
Labidochromis mbenjii,2336,Ruutuhuuliahven,['fresh'],[]
Labidochromis mylodon,2337,Aavehuuliahven,['fresh'],[]
Labidochromis pallidus,2338,Kalpeahuuliahven,['fresh'],[]
Labidochromis shiranus,2339,Etelänhuuliahven,['fresh'],[]
Labidochromis strigatus,2340,Utaka,['fresh'],[]
Labidochromis textilis,8352,Utaka,['fresh'],[]
Labidochromis vellicans,2341,Ruskohuuliahven,['fresh'],[]
Labidochromis zebroides,2342,Iceblue-Labidochromis-Buntbarsch,['fresh'],[]
