ScientificName,SpecCode,CommonName,Environments,Subspecies
Oreochromis alcalicus,2034,Common Natron tilapia,['fresh'],[]
Oreochromis amphimelas,2035,Galiläa-Buntbarsch,"['fresh', 'brackish']",[]
Oreochromis andersonii,1399,Driekolkurper,"['fresh', 'brackish']",[]
Oreochromis angolensis,2036,安哥尔口孵非鲫,"['fresh', 'brackish']",[]
Oreochromis aureus,1387,Abiad Hasani,"['fresh', 'brackish']",[]
Oreochromis chungruruensis,2088,Kiungululu tilapia,['fresh'],[]
Oreochromis esculentus,1431,Anagu,['fresh'],[]
Oreochromis grahami,2033,Graham's cichlid,['fresh'],[]
Oreochromis hunteri,2032,Chala tilapia,['fresh'],[]
Oreochromis ismailiaensis,61388,,['brackish'],[]
Oreochromis jipe,1422,Jipe tilapia,['fresh'],[]
Oreochromis karomo,1446,Karomo,['fresh'],[]
Oreochromis karongae,2042,Chambo,['fresh'],[]
Oreochromis korogwe,1448,Korogwe tilapia,"['fresh', 'brackish']",[]
Oreochromis latilabris,54452,Laimokk-soodatilaapia,['fresh'],[]
Oreochromis lepidurus,2037,美丽口孵非鲫,"['fresh', 'brackish']",[]
Oreochromis leucostictus,1413,Blue spotted tilapia,['fresh'],[]
Oreochromis lidole,2045,Chambo,['fresh'],[]
Oreochromis macrochir,1396,Akpakpodzie,['fresh'],[]
Oreochromis malagarasi,68811,Malagarasi tilapia,['fresh'],[]
Oreochromis mortimeri,1415,Kariba bream,['fresh'],[]
Oreochromis mossambicus,3,African mouthbrooder,"['fresh', 'brackish']",[]
Oreochromis mweruensis,2502,Igihwati,"['fresh', 'brackish']",[]
Oreochromis ndalalani,54450,Narrow-mouthed Natron tilapia,['fresh'],[]
Oreochromis niloticus,2,Akpafiatsi,"['fresh', 'brackish']",[]
Oreochromis placidus,2029,Black tilapia,"['fresh', 'brackish']",[]
Oreochromis rukwaensis,2040,Lake Rukwa tilapia,['fresh'],[]
Oreochromis saka,2043,Biriwiri,['fresh'],[]
Oreochromis salinicola,2041,Suolatilapia,['fresh'],[]
Oreochromis schwebischi,1447,Carpe,['fresh'],[]
Oreochromis shiranus,1432,Chilwa tilapia,"['fresh', 'brackish']",[]
Oreochromis spilurus,1416,Athi River tilapia,"['fresh', 'brackish']",[]
Oreochromis squamipinnis,2044,Chambo,['fresh'],[]
Oreochromis tanganicae,1440,Mpende,['fresh'],[]
Oreochromis upembae,2038,厄佩口孵非鯽,['fresh'],[]
Oreochromis urolepis,1420,Mojarra,"['fresh', 'brackish']",[]
Oreochromis variabilis,1430,Hopeatilapia,['fresh'],[]
