ScientificName,SpecCode,CommonName,Environments,Subspecies
Otopharynx aletes,69300,,['fresh'],[]
Otopharynx alpha,69292,,['fresh'],[]
Otopharynx antron,65200,,['fresh'],[]
Otopharynx argyrosoma,2205,Saguga,['fresh'],[]
Otopharynx auromarginatus,2197,Golden-margined hap,['fresh'],[]
Otopharynx brooksi,2201,Saguga,['fresh'],[]
Otopharynx decorus,2204,Koristeutaka,['fresh'],[]
Otopharynx heterodon,2198,Blaugelber Otopharynx,['fresh'],[]
Otopharynx lithobates,2202,Aristochromis deep,['fresh'],[]
Otopharynx mumboensis,69293,,['fresh'],[]
Otopharynx ovatus,2199,Blaugelber Otopharynx,['fresh'],[]
Otopharynx pachycheilus,60447,,['fresh'],[]
Otopharynx panniculus,69302,,['fresh'],[]
Otopharynx peridodeka,69304,,['fresh'],[]
Otopharynx selenurus,2206,Hiekkautaka,['fresh'],[]
Otopharynx speciosus,2203,Blue 14,['fresh'],[]
Otopharynx spelaeotes,65198,,['fresh'],[]
Otopharynx styrax,69298,,['fresh'],[]
Otopharynx tetraspilus,2207,Saguga,['fresh'],[]
Otopharynx tetrastigma,2200,Nelitäpläutaka,['fresh'],[]
