ScientificName,SpecCode,CommonName,Environments,Subspecies
Placidochromis acuticeps,62391,,['fresh'],[]
Placidochromis acutirostris,62392,,['fresh'],[]
Placidochromis argyrogaster,62393,,['fresh'],[]
Placidochromis boops,62390,,['fresh'],[]
Placidochromis borealis,62389,,['fresh'],[]
Placidochromis chilolae,62388,,['fresh'],[]
Placidochromis communis,62386,,['fresh'],[]
Placidochromis domirae,62394,,['fresh'],[]
Placidochromis ecclesi,62395,,['fresh'],[]
Placidochromis electra,2147,Chisawasawa,['fresh'],[]
Placidochromis elongatus,62396,,['fresh'],[]
Placidochromis fuscus,62397,,['fresh'],[]
Placidochromis hennydaviesae,2146,Chisawasawa,['fresh'],[]
Placidochromis intermedius,62398,,['fresh'],[]
Placidochromis johnstoni,2149,Chisawasawa,['fresh'],[]
Placidochromis koningsi,62387,,['fresh'],[]
Placidochromis lineatus,62399,,['fresh'],[]
Placidochromis longimanus,2144,Chisawasawa,['fresh'],[]
Placidochromis longirostris,62400,,['fresh'],[]
Placidochromis longus,62401,,['fresh'],[]
Placidochromis lukomae,62402,,['fresh'],[]
Placidochromis macroceps,62385,,['fresh'],[]
Placidochromis macrognathus,62384,,['fresh'],[]
Placidochromis mbunoides,62378,,['fresh'],[]
Placidochromis milomo,2148,Brown-white Labrosus,['fresh'],[]
Placidochromis minor,62381,,['fresh'],[]
Placidochromis minutus,62380,,['fresh'],[]
Placidochromis msakae,62379,,['fresh'],[]
Placidochromis nigribarbis,62403,,['fresh'],[]
Placidochromis nkhatae,62404,,['fresh'],[]
Placidochromis nkhotakotae,62405,,['fresh'],[]
Placidochromis obscurus,62406,,['fresh'],[]
Placidochromis ordinarius,62407,,['fresh'],[]
Placidochromis orthognathus,62408,,['fresh'],[]
Placidochromis pallidus,62409,,['fresh'],[]
Placidochromis phenochilus,2305,火唇朴丽鱼,['fresh'],[]
Placidochromis platyrhynchos,62410,,['fresh'],[]
Placidochromis polli,2307,Chisawasawa,['fresh'],[]
Placidochromis rotundifrons,62411,,['fresh'],[]
Placidochromis subocularis,2150,Happy,['fresh'],[]
Placidochromis trewavasae,62377,,['fresh'],[]
Placidochromis turneri,62376,,['fresh'],[]
Placidochromis vulgaris,62412,,['fresh'],[]
