ScientificName,SpecCode,CommonName,Environments,Subspecies
Protomelas annectens,2121,Afrikankeuhkokala,['fresh'],[]
Protomelas dejunctus,52353,貪婪原黑麗魚,['fresh'],[]
Protomelas fenestratus,2122,Chidondolo,['fresh'],[]
Protomelas insignis,2120,Haplochromis one and a half stripe,['fresh'],[]
Protomelas kirkii,2112,Chidzem'bango,['fresh'],[]
Protomelas krampus,69156,,['fresh'],[]
Protomelas labridens,2113,Kambuzi,['fresh'],[]
Protomelas macrodon,2115,Kambuzi,['fresh'],[]
Protomelas marginatus,2117,Kambuzi,['fresh'],[]
Protomelas pleurotaenia,2114,Binga,['fresh'],[]
Protomelas similis,2116,Kambuzi,['fresh'],[]
Protomelas spilonotus,2119,Kambuzi,['fresh'],[]
Protomelas spilopterus,2126,Turkoosimalawinahven,['fresh'],[]
Protomelas taeniolatus,2123,Haplochromis fire blue,['fresh'],[]
Protomelas triaenodon,2125,Kambuzi,['fresh'],[]
Protomelas virgatus,2124,Kambuzi,['fresh'],[]
