ScientificName,SpecCode,CommonName,Environments,Subspecies
Serranochromis altus,50106,Humpback largemouth,['fresh'],[]
Serranochromis alvum,69823,Blue-headed largemouth bream,['fresh'],[]
Serranochromis angusticeps,5358,Khele,['fresh'],[]
Serranochromis cacuchi,69826,Cacuchi largemouth bream,['fresh'],[]
Serranochromis cuanza,69825,Black-finned largemouth bream,['fresh'],[]
Serranochromis jallae,5362,Nembwe,['fresh'],[]
Serranochromis janus,6902,畸脸鮨丽鱼,['fresh'],[]
Serranochromis longimanus,6903,Langvin-grootbek,['fresh'],[]
Serranochromis macrocephalus,5359,Khele,['fresh'],[]
Serranochromis meridianus,6328,Laeveld-kurper,['fresh'],[]
Serranochromis robustus,2383,Muliba,['fresh'],[]
Serranochromis spei,6907,斯氏鮨丽鱼,['fresh'],[]
Serranochromis stappersi,6908,史氏鮨丽鱼,['fresh'],[]
Serranochromis swartzi,69824,Red-flanked largemouth bream,['fresh'],[]
Serranochromis thumbergi,5360,Brownspot largemouth,['fresh'],[]
