ScientificName,SpecCode,CommonName,Environments,Subspecies
Pangio agma,23029,Konarkiri-ogasilm,['fresh'],[]
Pangio alcoides,28159,Alk-ogasilm,['fresh'],[]
Pangio alternans,27385,Mahakami ogasilm,['fresh'],[]
Pangio ammophila,66822,Liiva-ogasilm,['fresh'],[]
Pangio anguillaris,16223,Aal-Dornauge,['fresh'],[]
Pangio apoda,63319,Tista ogasilm,['fresh'],[]
Pangio atactos,64997,Nikerkiri-ogasilm,['fresh'],[]
Pangio bhujia,69537,,['fresh'],[]
Pangio bitaimac,64998,Nuudel-ogasilm,['fresh'],[]
Pangio borneensis,23035,Borneo ogasilm,['fresh'],[]
Pangio cuneovirgata,23036,Kiilkiri-ogasilm,['fresh'],[]
Pangio doriae,23038,Doria ogasilm,['fresh'],[]
Pangio elongata,63310,Sale ogasilm,['fresh'],[]
Pangio filinaris,28167,Niitnina-ogasilm,['fresh'],[]
Pangio fusca,50401,Sekavec temný,['fresh'],[]
Pangio goaensis,24703,Coolie loach,['fresh'],[]
Pangio incognito,27386,Sarawaki ogasilm,['fresh'],[]
Pangio kuhlii,12276,Albino-Dornauge,['fresh'],[]
Pangio lidi,65032,Roots-ogasilm,['fresh'],[]
Pangio longimanus,65283,Kribu-ogasilm,['fresh'],[]
Pangio longipinnis,60195,Pikkuim-ogasilm,['fresh'],[]
Pangio lumbriciformis,63312,Liimuk-ogasilm,['fresh'],[]
Pangio malayana,27387,Ikan cacing,['fresh'],[]
Pangio mariarum,23041,Juovapiikkisilmä,['fresh'],[]
Pangio muraeniformis,65804,Mureen-ogasilm,"['fresh', 'brackish']",[]
Pangio myersi,55241,Bredbåndet kuhliål,['fresh'],[]
Pangio oblonga,23044,Ikan cacing,['fresh'],[]
Pangio pangia,60196,Pangia coolie-loach,['fresh'],[]
Pangio piperata,27388,Pilkkupiikkisilmä,['fresh'],[]
Pangio pulla,27389,Sekavec kalimantanský,['fresh'],[]
Pangio robiginosa,27390,Jaavanpiikkisilmä,['fresh'],[]
Pangio semicincta,59459,Aaltopiikkisilmä,['fresh'],[]
Pangio shelfordii,12293,Borneo loach,['fresh'],[]
Pangio signicauda,63311,Kirisaba-ogasilm,['fresh'],[]
Pangio superba,23047,Ikan cacing,['fresh'],[]
