ScientificName,SpecCode,CommonName,Environments,Subspecies
Sabanejewia aurata,22911,Aral spined loach,['fresh'],[]
Sabanejewia balcanica,49108,Balcan loach,"['fresh', 'brackish']",[]
Sabanejewia baltica,65130,Põhja-kuldhink,['fresh'],[]
Sabanejewia bulgarica,49158,bolgár csík,['fresh'],[]
Sabanejewia caspia,47866,Caspian spined loach,"['fresh', 'brackish']",[]
Sabanejewia caucasica,47867,Caucasian spiny loach,['fresh'],[]
Sabanejewia kubanica,63395,Kuban golden loach,['fresh'],[]
Sabanejewia larvata,46528,Bergatino pigsmerling,['fresh'],[]
Sabanejewia romanica,26620,Fâsa,['fresh'],[]
Sabanejewia vallachica,65131,Eastern Carpathian golden loach,['fresh'],[]
