ScientificName,SpecCode,CommonName,Environments,Subspecies
Conger cinereus,6654,Anguille ciseaux,"['brackish', 'salt']",[]
Conger conger,301,Almindelig havål,['salt'],[]
Conger erebennus,23285,Dainan-anago,['salt'],[]
Conger esculentus,102,Antillean Conger,['salt'],[]
Conger japonicus,23284,Beach conger,['salt'],[]
Conger jordani,70477,,['salt'],[]
Conger macrocephalus,58533,Suurpea-meriangerjas,['salt'],[]
Conger marginatus,67042,Ash-colored conger eel,['salt'],[]
Conger monganius,70487,,['salt'],[]
Conger myriaster,302,Belut,['salt'],[]
Conger oceanicus,300,Ameriški ugor,['salt'],[]
Conger oligoporus,58537,Hõrepoor-meriangerjas,['salt'],[]
Conger orbignianus,299,Argentiina meriangerjas,['salt'],[]
Conger philippinus,58539,Filipiini meriangerjas,['salt'],[]
Conger triporiceps,1017,Congrio denton,['salt'],[]
Conger verreauxi,13131,Australisk havsål,['salt'],[]
Conger wilsoni,7675,Cape conger,"['brackish', 'salt']",[]
