ScientificName,SpecCode,CommonName,Environments,Subspecies
Gnathophis andriashevi,54848,Andrijaševi mokkangerjas,['salt'],[]
Gnathophis asanoi,63063,Asano mokkangerjas,['salt'],[]
Gnathophis bathytopos,2625,Blackgut conger,['salt'],[]
Gnathophis bracheatopos,2626,Laisilm-mokkangerjas,['salt'],[]
Gnathophis capensis,15664,Kapimaa mokkangerjas,['salt'],[]
Gnathophis castlei,60612,Castle's conger,['salt'],[]
Gnathophis cinctus,13622,Catalina conger,['salt'],[]
Gnathophis codoniphorus,57289,Assoori mokkangerjas,['salt'],[]
Gnathophis ginanago,23290,Nise-gin-anago,['salt'],[]
Gnathophis grahami,60613,Grahami mokkangerjas,['salt'],[]
Gnathophis habenatus,13964,Koopakopako,['salt'],[]
Gnathophis heterognathos,58700,Erilõug-mokkangerjas,['salt'],[]
Gnathophis heterolinea,58531,Keenia mokkangerjas,['salt'],[]
Gnathophis leptosomatus,58532,Sale mokkangerjas,['salt'],[]
Gnathophis longicauda,24404,Little conger,['salt'],[]
Gnathophis macroporis,60614,Largepore conger,['salt'],[]
Gnathophis melanocoelus,60615,Blackgut conger,['salt'],[]
Gnathophis microps,60617,Smalleye conger,['salt'],[]
Gnathophis musteliceps,58561,Nirk-mokkangerjas,['salt'],[]
Gnathophis mystax,1790,Black tailed conger,['salt'],[]
Gnathophis nasutus,60618,Bignose conger,['salt'],[]
Gnathophis neocaledoniensis,63062,Uuskaledoonia mokkangerjas,['salt'],[]
Gnathophis nystromi,8251,Belut laut,['salt'],[]
Gnathophis parini,54846,Parini mokkangerjas,['salt'],[]
Gnathophis smithi,54847,Smithi mokkangerjas,['salt'],[]
Gnathophis tritos,58545,Florida mokkangerjas,['salt'],[]
Gnathophis umbrellabius,24409,Fringe-nosed conger-eel,['salt'],[]
Gnathophis xenica,23293,Hime-gin-anago,['salt'],[]
