ScientificName,SpecCode,CommonName,Environments,Subspecies
Rhynchoconger bicoloratus,70499,Bicoloured longnose conger eel,['salt'],[]
Rhynchoconger ectenurus,22596,Kitsune-anago,['salt'],[]
Rhynchoconger flavus,2628,Conger eel,['salt'],[]
Rhynchoconger gracilior,2629,Conger eel,['salt'],[]
Rhynchoconger guppyi,47178,Kariibi nokisangerjas,['salt'],[]
Rhynchoconger nitens,13624,Bignose conger,['salt'],[]
Rhynchoconger randalli,70500,Randall's conger eel,['salt'],[]
Rhynchoconger smithi,70501,Smith's longnose conger eel,['salt'],[]
Rhynchoconger squaliceps,58697,Bengali nokisangerjas,['salt'],[]
Rhynchoconger trewavasae,57764,Congre de Trewawas,['salt'],[]
