ScientificName,SpecCode,CommonName,Environments,Subspecies
Artediellus aporosus,61292,,['salt'],[]
Artediellus atlanticus,4041,Atlantic hookear,['salt'],[]
Artediellus camchaticus,23953,Kamuchakkakajika,['salt'],[]
Artediellus dydymovi,23948,Kobu-okikajika,['salt'],[]
Artediellus fuscimentus,60028,Nodoguro-okikajika,['salt'],[]
Artediellus gomojunovi,51388,Spinyhook sculpin,['salt'],[]
Artediellus ingens,61285,,['salt'],[]
Artediellus miacanthus,51389,小刺杜父魚,['salt'],[]
Artediellus minor,60027,Himekajika,['salt'],[]
Artediellus neyelovi,60026,Oshima-okikajika,['salt'],[]
Artediellus ochotensis,23952,Ohotsukukajika,['salt'],[]
Artediellus pacificus,11708,Hookhorn sculpin,['salt'],[]
Artediellus scaber,4042,Hamecon,"['brackish', 'salt']",[]
Artediellus schmidti,23950,Toge-okikajika,['salt'],[]
Artediellus uncinatus,4043,Arctic hookear sculpin,['salt'],[]
