ScientificName,SpecCode,CommonName,Environments,Subspecies
Icelus armatus,61295,,['salt'],[]
Icelus bicornis,4107,Almindelig tornulk,['salt'],[]
Icelus canaliculatus,23906,Blacknose sculpin,['salt'],[]
Icelus cataphractus,23905,Kôrikajika,['salt'],[]
Icelus ecornis,60024,Chigo-kōrikajika,['salt'],[]
Icelus euryops,50794,Wide-eye sculpin,['salt'],[]
Icelus gilberti,23904,Daruma-kôrikajika,['salt'],[]
Icelus mandibularis,23907,Ukekuchi-kôrikajika,['salt'],[]
Icelus ochotensis,23911,Kobu-kôrikajika,['salt'],[]
Icelus perminovi,23910,Fusa-kôrikajika,['salt'],[]
Icelus rastrinoides,50359,似耙冰杜父魚,['salt'],[]
Icelus sekii,63392,Rausu-kajika,['salt'],[]
Icelus spatula,4108,Icèle spatulée,['salt'],[]
Icelus spiniger,4109,Kolyuchiy itsel,['salt'],[]
Icelus stenosomus,50360,狭体冰杜父鱼,['salt'],[]
Icelus toyamensis,60023,Tomikajika,['salt'],[]
Icelus uncinalis,51497,Uncinate sculpin,['salt'],[]
