ScientificName,SpecCode,CommonName,Environments,Subspecies
Triglops dorothy,62749,Dorothy's sculpin,['salt'],[]
Triglops forficatus,4144,Saksehalet knurulk,['salt'],[]
Triglops jordani,11886,Jordans knurulk,['salt'],[]
Triglops macellus,4145,Roughspine sculpin,['salt'],[]
Triglops metopias,11734,Alaskan sculpin,['salt'],[]
Triglops murrayi,4146,Atlanticheskiy triglops,['salt'],[]
Triglops nybelini,4147,Bigeye sculpin,['salt'],[]
Triglops pingelii,4148,Arktisk knurrulke,['salt'],[]
Triglops scepticus,4149,Mogamikajika,['salt'],[]
Triglops xenostethus,11883,Scaly breasted sculpin,['salt'],[]
