ScientificName,SpecCode,CommonName,Environments,Subspecies
Characidium alipioi,52684,艾氏溪脂鯉,['fresh'],[]
Characidium amaila,67219,,['fresh'],[]
Characidium bahiense,52528,巴西乔氏溪脂鲤,['fresh'],[]
Characidium bimaculatum,52685,双斑溪脂鲤,['fresh'],[]
Characidium boavistae,49167,Chupapiedra,['fresh'],[]
Characidium boehlkei,53077,Sardina,['fresh'],[]
Characidium bolivianum,53064,博利瓦溪脂鯉,['fresh'],[]
Characidium borellii,53053,博氏短頜脂鯉,['fresh'],[]
Characidium brevirostre,53055,Kurznasiger Bodensalmler,['fresh'],[]
Characidium caucanum,53060,考卡溪脂鯉,['fresh'],[]
Characidium chupa,53066,委內瑞拉溪脂鯉,['fresh'],[]
Characidium crandellii,53061,克氏溪脂鯉,['fresh'],[]
Characidium declivirostre,53062,Caruru piramiri,['fresh'],[]
Characidium deludens,68557,,['fresh'],[]
Characidium etheostoma,51121,Mojarita,['fresh'],[]
Characidium etzeli,61044,,['fresh'],[]
Characidium fasciatum,12335,Banded characidium,['fresh'],[]
Characidium gomesi,52713,Canivete,['fresh'],[]
Characidium grajahuense,52677,Canivetinho,['fresh'],[]
Characidium hasemani,53063,黑斯曼氏溪脂鯉,['fresh'],[]
Characidium heinianum,61045,,['fresh'],[]
Characidium heirmostigmata,63688,Canivete,['fresh'],[]
Characidium helmeri,68116,,['fresh'],[]
Characidium interruptum,53056,,['fresh'],[]
Characidium japuhybense,53070,热普哈溪脂鲤,['fresh'],[]
Characidium kalunga,69882,,['fresh'],[]
Characidium kamakan,68555,,['fresh'],[]
Characidium lagosantense,48559,Canivete,['fresh'],[]
Characidium lanei,53074,兰氏溪脂鲤,['fresh'],[]
Characidium laterale,53054,瓦紅溪脂鯉,['fresh'],[]
Characidium lauroi,53069,劳氏溪脂鲤,['fresh'],[]
Characidium litorale,67774,,['fresh'],[]
Characidium longum,63135,,['fresh'],[]
Characidium macrolepidotum,58003,,['fresh'],[]
Characidium marshi,53065,馬爾斯氏溪脂鯉,['fresh'],[]
Characidium mirim,66991,,['fresh'],[]
Characidium nana,68595,,['fresh'],[]
Characidium nupelia,63879,Mocinha,['fresh'],[]
Characidium occidentale,50684,Mojarrita,['fresh'],[]
Characidium oiticicai,53075,奥氏溪脂鲤,['fresh'],[]
Characidium onca,69881,,['fresh'],[]
Characidium orientale,50685,东方溪脂鲤,['fresh'],[]
Characidium papachibe,67128,,['fresh'],[]
Characidium pellucidum,28026,圭亚那溪脂鲤,['fresh'],[]
Characidium phoxocephalum,53059,細頭溪脂鯉,['fresh'],[]
Characidium pteroides,53057,似鰭溪脂鯉,['fresh'],[]
Characidium pterostictum,50072,斑鰭溪脂鯉,['fresh'],[]
Characidium purpuratum,53052,Sardina,['fresh'],[]
Characidium rachovii,23419,Canivete,['fresh'],[]
Characidium roesseli,53073,罗氏溪脂鲤,['fresh'],[]
Characidium samurai,67631,,['fresh'],[]
Characidium sanctjohanni,53072,桑氏溪脂鯉,['fresh'],[]
Characidium satoi,68095,,['fresh'],[]
Characidium schindleri,61046,,['fresh'],[]
Characidium schubarti,53071,舒氏溪脂鯉,['fresh'],[]
Characidium serrano,50691,Piquira,['fresh'],[]
Characidium steindachneri,51122,Mojarita,['fresh'],[]
Characidium stigmosum,60275,,['fresh'],[]
Characidium summum,68218,,['fresh'],[]
Characidium tenue,50695,Canivete,['fresh'],[]
Characidium timbuiense,53068,野溪脂鯉,['fresh'],[]
Characidium travassosi,70125,,['fresh'],[]
Characidium vestigipinne,57628,,['fresh'],[]
Characidium vidali,53076,維氏溪脂鯉,['fresh'],[]
Characidium xanthopterum,64061,,['fresh'],[]
Characidium xavante,63882,,['fresh'],[]
Characidium zebra,28025,Canivete,['fresh'],[]
