ScientificName,SpecCode,CommonName,Environments,Subspecies
Cyphocharax abramoides,25643,Branquinha,['fresh'],[]
Cyphocharax aninha,67885,,['fresh'],[]
Cyphocharax aspilos,49001,Bocachico,['fresh'],[]
Cyphocharax biocellatus,66597,,['fresh'],[]
Cyphocharax boiadeiro,68855,,['fresh'],[]
Cyphocharax corumbae,58195,Saguiru,['fresh'],[]
Cyphocharax derhami,62721,,['fresh'],[]
Cyphocharax festivus,51264,美駝背無齒脂鯉,['fresh'],[]
Cyphocharax gangamon,51352,巴西駝背無齒脂鯉,['fresh'],[]
Cyphocharax gilbert,23442,Curimabatá,['fresh'],[]
Cyphocharax gillii,51392,Curimbatazinho,['fresh'],[]
Cyphocharax gouldingi,51382,古尔氏驼背无齿脂鲤,['fresh'],[]
Cyphocharax helleri,27826,Branquinha,['fresh'],[]
Cyphocharax laticlavius,53100,宽带驼背无齿脂鲤,['fresh'],[]
Cyphocharax leucostictus,51252,白斑駝背無齒脂鯉,['fresh'],[]
Cyphocharax magdalenae,48997,Campiniz,['fresh'],[]
Cyphocharax meniscaprorus,51364,委內瑞拉駝背無齒脂鯉,['fresh'],[]
Cyphocharax mestomyllon,51332,亚马逊驼背无齿脂鲤,['fresh'],[]
Cyphocharax microcephalus,51310,小头驼背无齿脂鲤,['fresh'],[]
Cyphocharax modestus,51340,Saguiru,['fresh'],[]
Cyphocharax multilineatus,26518,Gestreifter Barbensalmler,['fresh'],[]
Cyphocharax muyrakytan,69968,,['fresh'],[]
Cyphocharax naegelii,51247,Saguiru,['fresh'],[]
Cyphocharax nigripinnis,51265,黑鰭駝背無齒脂鯉,['fresh'],[]
Cyphocharax notatus,51263,野生駝背無齒脂鯉,['fresh'],[]
Cyphocharax oenas,51397,酒色駝背無齒脂鯉,['fresh'],[]
Cyphocharax pantostictos,51255,Boquiche,['fresh'],[]
Cyphocharax pinnilepis,65809,,['fresh'],[]
Cyphocharax platanus,23440,Birú,['fresh'],[]
Cyphocharax plumbeus,51307,Pira miri,['fresh'],[]
Cyphocharax punctatus,27827,点斑驼背无齿脂鲤,['fresh'],[]
Cyphocharax saladensis,11888,Biru,['fresh'],[]
Cyphocharax sanctigabrielis,67630,,['fresh'],[]
Cyphocharax santacatarinae,51349,Peixe-Duro,['fresh'],[]
Cyphocharax signatus,51322,南美駝背無齒脂鯉,['fresh'],[]
Cyphocharax spilotus,51324,Biru,['fresh'],[]
Cyphocharax spiluropsis,51395,亚马逊无齿脂鲤,['fresh'],[]
Cyphocharax spilurus,27828,Branquinha,['fresh'],[]
Cyphocharax stilbolepis,51218,光鱗駝背無齒脂鯉,['fresh'],[]
Cyphocharax vanderi,51316,范氏駝背無齒脂鯉,['fresh'],[]
Cyphocharax vexillapinnus,51256,旗鰭駝背無齒脂鯉,['fresh'],[]
Cyphocharax voga,51337,Biru,['fresh'],[]
