ScientificName,SpecCode,CommonName,Environments,Subspecies
Steindachnerina amazonica,53119,Branquinha comum,['fresh'],[]
Steindachnerina argentea,23283,Brislingekarpelaks,['fresh'],[]
Steindachnerina atratoensis,53121,哥伦比亚斯坦达脂鲤,['fresh'],[]
Steindachnerina bimaculata,23441,Boquiche,['fresh'],[]
Steindachnerina binotata,51882,Boquiche,['fresh'],[]
Steindachnerina biornata,51884,Biru,['fresh'],[]
Steindachnerina brevipinna,53118,Biru,['fresh'],[]
Steindachnerina conspersa,51881,Curimbatazinho,['fresh'],[]
Steindachnerina dobula,53114,Boquiche,['fresh'],[]
Steindachnerina elegans,53116,Beiru,['fresh'],[]
Steindachnerina fasciata,52501,条纹斯坦达脂鲤,['fresh'],[]
Steindachnerina gracilis,52648,細身斯坦達脂鯉,['fresh'],[]
Steindachnerina guentheri,51885,Boquiche,['fresh'],[]
Steindachnerina hypostoma,51886,Boquiche,['fresh'],[]
Steindachnerina insculpta,52540,Fernete,['fresh'],[]
Steindachnerina leucisca,51883,Julilla,['fresh'],[]
Steindachnerina notograptos,64884,,['fresh'],[]
Steindachnerina notonota,53123,Piabussú,['fresh'],[]
Steindachnerina planiventris,52649,平腹斯坦达脂鲤,['fresh'],[]
Steindachnerina pupula,53127,委內瑞拉斯坦達脂鯉,['fresh'],[]
Steindachnerina quasimodoi,52650,夸氏斯坦达脂鲤,['fresh'],[]
Steindachnerina seriata,66396,,['fresh'],[]
Steindachnerina varii,27829,瓦氏斯坦达脂鲤,['fresh'],[]
