ScientificName,SpecCode,CommonName,Environments,Subspecies
Eumicrotremus andriashevi,51419,Bumset stenbider,['salt'],[]
Eumicrotremus asperrimus,60669,Konpeitô,['salt'],[]
Eumicrotremus awae,24106,Dango-uo,['salt'],[]
Eumicrotremus barbatus,24059,Hige-dango,['salt'],[]
Eumicrotremus derjugini,4183,Kruglopyor Deryugina,['salt'],[]
Eumicrotremus fedorovi,58804,費氏刺獅子魚,['salt'],[]
Eumicrotremus gyrinops,50771,Alaskan lumpsucker,['salt'],[]
Eumicrotremus jindoensis,69186,Gin-kko-ri-eom-ji-do-chi,['salt'],[]
Eumicrotremus orbis,4184,Amrruq,['salt'],[]
Eumicrotremus pacificus,24057,Fûsen-uo,['salt'],[]
Eumicrotremus phrynoides,51412,Toad lumpsucker,['salt'],[]
Eumicrotremus schmidti,24055,Hira-dango,['salt'],[]
Eumicrotremus spinosus,4185,Atlantic spiny lumpsucker,['salt'],[]
Eumicrotremus taranetzi,27595,Name-dango,['salt'],[]
Eumicrotremus tartaricus,60673,,['salt'],[]
Eumicrotremus terraenovae,58831,Newfoundland spiny lumpsucker,['salt'],[]
Eumicrotremus tokranovi,70511,,['salt'],[]
Eumicrotremus uenoi,69185,Eom-ji-do-chi,['salt'],[]
