ScientificName,SpecCode,CommonName,Environments,Subspecies
Capoeta aculeata,56223,Large scale scraper,['fresh'],[]
Capoeta alborzensis,70278,Alborz large scale scraper,['fresh'],[]
Capoeta antalyensis,9631,Antalya barb,['fresh'],[]
Capoeta aydinensis,68540,,['fresh'],[]
Capoeta banarescui,62914,Bănărescu ramul,['fresh'],[]
Capoeta bergamae,63099,Bergama barb,['fresh'],[]
Capoeta buhsei,55303,Buhse ramul,['fresh'],[]
Capoeta caelestis,65186,Aptalca,['fresh'],[]
Capoeta capoeta,13157,Caucasian scraper,['fresh'],[]
Capoeta capoetoides,11629,Chramule parmičkovitá,['fresh'],[]
Capoeta coadi,67903,,['fresh'],[]
Capoeta damascina,26487,Ankara barb,['fresh'],[]
Capoeta ekmekciae,62754,Çoruhi ramul,['fresh'],[]
Capoeta ferdowsii,68535,,['fresh'],[]
Capoeta fusca,55343,Parmička temná,['fresh'],[]
Capoeta gracilis,64660,,['fresh'],[]
Capoeta heratensis,70280,Herat scarper,['fresh'],[]
Capoeta kaput,70282,,['fresh'],[]
Capoeta macrolepis,70281,Kor scraper,['fresh'],[]
Capoeta oguzelii,70605,,['fresh'],[]
Capoeta pestai,56224,Beyşehiri ramul,['fresh'],[]
Capoeta pyragyi,68536,,['fresh'],[]
Capoeta razii,68539,,['fresh'],[]
Capoeta saadii,67906,,['fresh'],[]
Capoeta sevangi,8725,Sevan khramulya,['fresh'],[]
Capoeta shajariani,68537,,['fresh'],[]
Capoeta sieboldii,48164,Chramule Sieboldova,['fresh'],[]
Capoeta tinca,48163,Anatolian khramulya,['fresh'],[]
Capoeta umbla,63654,Mesopotaamia ramul,['fresh'],[]
