ScientificName,SpecCode,CommonName,Environments,Subspecies
Cyprinion acinaces,27870,Arabian lotak,['fresh'],[]
Cyprinion kais,54827,Butak Dehan Kuchek,['fresh'],[]
Cyprinion macrostomus,54828,Beni balığı,['fresh'],[]
Cyprinion mhalense,27872,Dawasir lotak,['fresh'],[]
Cyprinion microphthalmum,23202,Parmoušice malooká,['fresh'],[]
Cyprinion milesi,23209,Milesi karbik,['fresh'],[]
Cyprinion muscatense,70269,Hajar Lotak,['fresh'],[]
Cyprinion semiplotum,13162,Assamese kingfish,['fresh'],[]
Cyprinion tenuiradius,54721,Iraani karbik,['fresh'],[]
Cyprinion watsoni,23213,Parmoušice watsonova,['fresh'],[]
