ScientificName,SpecCode,CommonName,Environments,Subspecies
Discogobio antethoracalis,63753,Eesuim-napprünt,['fresh'],[]
Discogobio bismargaritus,52291,Hrouzek perleťový,['fresh'],[]
Discogobio brachyphysallidos,58355,Hrouzek luopinský,['fresh'],[]
Discogobio caobangi,62817,Kirdevietnami napprünt,['fresh'],[]
Discogobio dienbieni,62819,Loodevietnami napprünt,['fresh'],[]
Discogobio elongatus,58356,Hrouzek protáhlý,['fresh'],[]
Discogobio laticeps,52292,Hrouzek jihočínský,['fresh'],[]
Discogobio longibarbatus,52580,Fuxiani napprünt,"['fresh', 'brackish']",[]
Discogobio macrophysallidos,52584,Kärestiku-napprünt,"['fresh', 'brackish']",[]
Discogobio microstoma,61216,Gara drobnoústá,['fresh'],[]
Discogobio multilineatus,52288,Hrouzek mnohopruhý,['fresh'],[]
Discogobio pacboensis,62818,Pácbó napprünt,['fresh'],[]
Discogobio poneventralis,63773,Tagauim-napprünt,['fresh'],[]
Discogobio propeanalis,63772,Pärauim-napprünt,['fresh'],[]
Discogobio tetrabarbatus,52289,Hrouzek čtyřvousý,['fresh'],[]
Discogobio yunnanensis,55424,Hrouzek junanský,['fresh'],[]
