ScientificName,SpecCode,CommonName,Environments,Subspecies
Enteromius ablabes,2410,Bedempuure,['fresh'],[]
Enteromius aboinensis,5322,Aboina pardkala,['fresh'],[]
Enteromius afrohamiltoni,11276,Dik-ghieliemientjie,['fresh'],[]
Enteromius afrovernayi,11277,Kolstert-ghieliemientjie,['fresh'],[]
Enteromius akakianus,69090,,['fresh'],[]
Enteromius alberti,69872,Ikinanga,['fresh'],[]
Enteromius aliciae,57968,Mani pardkala,['fresh'],[]
Enteromius aloyi,11281,Bolo pardkala,['fresh'],[]
Enteromius amanpoae,11289,Amanpoa pardkala,['fresh'],[]
Enteromius amatolicus,11830,Amatola barb,['fresh'],[]
Enteromius anema,5308,Djaraï,['fresh'],[]
Enteromius annectens,11292,Breëstreep-ghieliemientjie,['fresh'],[]
Enteromius anniae,5314,Koumba pardkala,['fresh'],[]
Enteromius anoplus,8600,Chubbyhead barb,"['fresh', 'brackish']",[]
Enteromius ansorgii,11293,Ansorge`i pardkala,['fresh'],[]
Enteromius apleurogramma,11294,Adel,['fresh'],[]
Enteromius arambourgi,11295,Arambourgi pardkala,['fresh'],[]
Enteromius arcislongae,8387,Malawi pardkala,"['fresh', 'brackish']",[]
Enteromius argenteus,11296,Hõbejas pardkala,['fresh'],[]
Enteromius aspilus,11297,Kameruni pardkala,['fresh'],[]
Enteromius atakorensis,5331,Atakora pardkala,['fresh'],[]
Enteromius atkinsoni,11299,Atkinsoni pardkala,['fresh'],[]
Enteromius atromaculatus,11301,Mustlaik-pardkala,['fresh'],[]
Enteromius bagbwensis,5323,Bagbwe pardkala,['fresh'],[]
Enteromius baleensis,69705,,['fresh'],[]
Enteromius barnardi,11302,Barnardi pardkala,['fresh'],[]
Enteromius barotseensis,11303,Barbus barb,['fresh'],[]
Enteromius baudoni,2411,Baudoni pardkala,['fresh'],[]
Enteromius bawkuensis,5328,Bawku pardkala,['fresh'],[]
Enteromius bifrenatus,11867,Hyphen barb,['fresh'],[]
Enteromius bigornei,2412,Bigorne pardkala,['fresh'],[]
Enteromius boboi,5317,Bobo pardkala,['fresh'],[]
Enteromius bourdariei,11310,Parmička sanaganská,['fresh'],[]
Enteromius brachygramma,11311,Linespotted ufipa barb,['fresh'],[]
Enteromius brazzai,11313,Brazza pardkala,['fresh'],[]
Enteromius breviceps,11314,Lühipea-pardkala,['fresh'],[]
Enteromius brevidorsalis,11315,Dwarf barb,['fresh'],[]
Enteromius brevilateralis,11317,Cuanza pardkala,['fresh'],[]
Enteromius brevipinnis,9539,Kortvin-ghieliemientjie,['fresh'],[]
Enteromius brichardi,11319,Brichardi pardkala,['fresh'],[]
Enteromius cadenati,5301,Konkouré pardkala,['fresh'],[]
Enteromius callipterus,2413,Clipper barb,['fresh'],[]
Enteromius camptacanthus,5316,African redfinned barb,['fresh'],[]
Enteromius candens,11324,Kolmlaik-pardkala,['fresh'],[]
Enteromius carcharhinoides,59767,Haijas pardkala,['fresh'],[]
Enteromius carens,11326,Joonetu pardkala,['fresh'],[]
Enteromius castrasibutum,11327,Parmička sibutská,['fresh'],[]
Enteromius catenarius,11329,Niari pardkala,['fresh'],[]
Enteromius caudosignatus,11330,Kwilu pardkala,['fresh'],[]
Enteromius chicapaensis,11334,Chicapa pardkala,['fresh'],[]
Enteromius chiumbeensis,11335,Chiumbé pardkala,['fresh'],[]
Enteromius chlorotaenia,5332,Krokiri-ikpokpo,['fresh'],[]
Enteromius choloensis,11336,Cholo pardkala,['fresh'],[]
Enteromius citrinus,11337,Parmička citronová,['fresh'],[]
Enteromius clauseni,5309,Clauseni pardkala,['fresh'],[]
Enteromius collarti,11340,Collarti pardkala,['fresh'],[]
Enteromius condei,11342,Barbus nain,['fresh'],[]
Enteromius deguidei,11345,Ikela pardkala,['fresh'],[]
Enteromius deserti,11346,Kõrbe-pardkala,['fresh'],[]
Enteromius devosi,66742,Malagarazi pardkala,['fresh'],[]
Enteromius dialonensis,5303,Djaloni pardkala,['fresh'],[]
Enteromius diamouanganai,55213,Alamguinea pardkala,['fresh'],[]
Enteromius ditinensis,5335,Ditinni pardkala,['fresh'],[]
Enteromius dorsolineatus,11347,Bostreep-ghieliemientjie,['fresh'],[]
Enteromius eburneensis,2414,Laikkubarbi,['fresh'],[]
Enteromius erythrozonus,11350,Parmička červenopruhá,['fresh'],[]
Enteromius eutaenia,11351,Kasenga,['fresh'],[]
Enteromius evansi,11352,Evansi pardkala,['fresh'],[]
Enteromius fasciolatus,10802,African banded barb,['fresh'],[]
Enteromius foutensis,5325,Fouta pardkala,['fresh'],[]
Enteromius greenwoodi,11359,Greenwoodi pardkala,['fresh'],[]
Enteromius guildi,5326,Guildi pardkala,['fresh'],[]
Enteromius guineensis,5302,Guinea pardkala,['fresh'],[]
Enteromius guirali,11360,Barbus,['fresh'],[]
Enteromius gurneyi,11362,Parmička Gurneyova,['fresh'],[]
Enteromius haasianus,11363,Matemba,['fresh'],[]
Enteromius holotaenia,11365,African longstripe barb,['fresh'],[]
Enteromius huguenyi,57969,Hugueny pardkala,['fresh'],[]
Enteromius hulstaerti,11367,Afrikansk sommerfuglebarbe,['fresh'],[]
Enteromius humeralis,11368,Keskaafrika pardkala,['fresh'],[]
Enteromius humilis,11369,Parmička tsanská,['fresh'],[]
Enteromius inaequalis,2416,Parmička různovousá,['fresh'],[]
Enteromius innocens,8364,Inconspicious barb,['fresh'],[]
Enteromius jacksoni,11374,Dreipunkbarbe,['fresh'],[]
Enteromius jae,11375,Dja barb,['fresh'],[]
Enteromius janssensi,11376,Janssens Barbe,['fresh'],[]
Enteromius kamolondoensis,11378,Kamolondo pardkala,['fresh'],[]
Enteromius kerstenii,11379,Agahuza,['fresh'],[]
Enteromius kessleri,11381,Gillbar barb,['fresh'],[]
Enteromius kissiensis,11382,Kissi pardkala,['fresh'],[]
Enteromius kuiluensis,11383,Kouilou pardkala,['fresh'],[]
Enteromius lamani,11384,Lamani pardkala,['fresh'],[]
Enteromius laticeps,11385,Parmička tanzanijská,['fresh'],[]
Enteromius lauzannei,5320,Krokiri-ikpokpo,['fresh'],[]
Enteromius leonensis,2417,Dale-madaga,['fresh'],[]
Enteromius liberiensis,5313,Libeeria pardkala,['fresh'],[]
Enteromius lineomaculatus,11386,Ijembe,['fresh'],[]
Enteromius litamba,5412,Malawi mokkparrak,['fresh'],[]
Enteromius lornae,60641,Sambia pardkala,['fresh'],[]
Enteromius loveridgii,11388,Amala pardkala,['fresh'],[]
Enteromius lufukiensis,11391,Lufuko pardkala,['fresh'],[]
Enteromius luikae,11392,Luika barb,['fresh'],[]
Enteromius lujae,11393,Luja pardkala,['fresh'],[]
Enteromius lukindae,11394,Lukinda pardkala,['fresh'],[]
Enteromius lukusiensis,11395,Lukusi pardkala,['fresh'],[]
Enteromius luluae,11396,Lulua pardkala,['fresh'],[]
Enteromius machadoi,11397,Dundo pardkala,['fresh'],[]
Enteromius macinensis,2418,Krokiri-ikpokpo,['fresh'],[]
Enteromius macrops,2419,Afrikanische Längsstreifenbarbe,['fresh'],[]
Enteromius macrotaenia,8365,Breëband-ghieliemientjie,['fresh'],[]
Enteromius magdalenae,11400,Bunjako barb,['fresh'],[]
Enteromius manicensis,11402,Geel-ghieliemientjie,['fresh'],[]
Enteromius marmoratus,11405,Marmor-pardkala,['fresh'],[]
Enteromius martorelli,11406,Martorelli pardkala,['fresh'],[]
Enteromius mattozi,11408,Bushveld papermouth,['fresh'],[]
Enteromius mediosquamatus,11412,Angoola pardkala,['fresh'],[]
Enteromius melanotaenia,59768,Parmička černopásá,['fresh'],[]
Enteromius mimus,11416,Ewaso Nyiro barb,['fresh'],[]
Enteromius miolepis,11417,Lumbungo,['fresh'],[]
Enteromius mocoensis,11420,Cuvo pardkala,['fresh'],[]
Enteromius motebensis,9593,Marico barb,['fresh'],[]
Enteromius multilineatus,11422,Copperstripe barb,['fresh'],[]
Enteromius musumbi,11424,Angola-Barbe,['fresh'],[]
Enteromius neefi,11428,Parmička Neefova,['fresh'],[]
Enteromius neglectus,11429,Nuubia pardkala,['fresh'],[]
Enteromius neumayeri,11430,Agahuzi,['fresh'],[]
Enteromius nigeriensis,5334,Krokiri-ikpokpo,['fresh'],[]
Enteromius nigrifilis,11431,Ankoro pardkala,['fresh'],[]
Enteromius nigroluteus,11433,Alamguinea pardkala,['fresh'],[]
Enteromius niokoloensis,5330,Niokolo pardkala,['fresh'],[]
Enteromius nounensis,50314,Nouni pardkala,['fresh'],[]
Enteromius nyanzae,11435,Adel,['fresh'],[]
Enteromius okae,11436,Oka pardkala,['fresh'],[]
Enteromius oligogrammus,11437,Burundi pardkala,['fresh'],[]
Enteromius olivaceus,53130,Oliivrohekas pardkala,['fresh'],[]
Enteromius owenae,11438,Oweni pardkala,['fresh'],[]
Enteromius pallidus,12345,Goldie barb,['fresh'],[]
Enteromius paludinosus,7571,Dagaa,['fresh'],[]
Enteromius papilio,11442,Liblik-pardkala,['fresh'],[]
Enteromius parablabes,5327,Parmička atakoranská,['fresh'],[]
Enteromius parajae,50316,Parmička kimská,['fresh'],[]
Enteromius pellegrini,11444,Agahuza,['fresh'],[]
Enteromius perince,5318,Benué pardkala,['fresh'],[]
Enteromius petchkovskyi,11445,Parmička Pečkovského,['fresh'],[]
Enteromius pinnimaculatus,70034,,['fresh'],[]
Enteromius pleurogramma,11447,Mustviirg-pardkala,['fresh'],[]
Enteromius pobeguini,2422,Parmička Pobeguinova,['fresh'],[]
Enteromius poechii,11448,Dashtail barb,['fresh'],[]
Enteromius potamogalis,68107,,['fresh'],[]
Enteromius prionacanthus,11450,Ogowe pardkala,['fresh'],[]
Enteromius profundus,11460,Süva-pardkala,['fresh'],[]
Enteromius pseudotoppini,53133,Parmička pitinská,['fresh'],[]
Enteromius pumilus,5307,Parmička trpasličí,['fresh'],[]
Enteromius punctitaeniatus,2423,Krokiri-ikpokpo,['fresh'],[]
Enteromius pygmaeus,11457,Kääbus-pardkala,['fresh'],[]
Enteromius quadrilineatus,62907,Nelitriip-pardkala,['fresh'],[]
Enteromius quadripunctatus,11458,Fourspotted barb,['fresh'],[]
Enteromius radari,70039,,['fresh'],[]
Enteromius radiatus,8363,Beira barb,['fresh'],[]
Enteromius raimbaulti,5324,Parmička Raimbaultova,['fresh'],[]
Enteromius rohani,11465,Parmička Rohanova,['fresh'],[]
Enteromius roussellei,11467,Parmička Roussellova,['fresh'],[]
Enteromius rouxi,11468,Parmička Rouxova,['fresh'],[]
Enteromius rubrostigma,11418,Punaplekk-pardkala,['fresh'],[]
Enteromius salessei,5306,Parmička oranžoploutvá,['fresh'],[]
Enteromius sensitivus,65886,Tundlik pardkala,['fresh'],[]
Enteromius serengetiensis,57884,Serengeti pardkala,['fresh'],[]
Enteromius sexradiatus,11473,Kavirondo barb,['fresh'],[]
Enteromius seymouri,63695,Seymouri pardkala,['fresh'],[]
Enteromius stanleyi,11475,Parmička Stanleyova,['fresh'],[]
Enteromius stauchi,11477,Parmička Stauchova,['fresh'],[]
Enteromius stigmasemion,11479,Batangafo pardkala,['fresh'],[]
Enteromius stigmatopygus,2425,Krokiri-ikpokpo,['fresh'],[]
Enteromius subinensis,2426,Parmička subinská,['fresh'],[]
Enteromius sublineatus,2427,Bonsié konlé,['fresh'],[]
Enteromius sylvaticus,5310,Iguidi pardkala,['fresh'],[]
Enteromius syntrechalepis,11481,Lembesse pardkala,['fresh'],[]
Enteromius taeniopleura,11482,Kasarala pardkala,['fresh'],[]
Enteromius taeniurus,11484,Juttsaba-pardkala,['fresh'],[]
Enteromius tanapelagius,60394,Avavee-pardkala,['fresh'],[]
Enteromius tegulifer,11488,Kribi pardkala,['fresh'],[]
Enteromius tetraspilus,11489,Bukoba pardkala,['fresh'],[]
Enteromius tetrastigma,11490,Nelilaik-pardkala,['fresh'],[]
Enteromius teugelsi,66239,Teugelsi pardkala,['fresh'],[]
Enteromius thamalakanensis,11491,Ngonga,['fresh'],[]
Enteromius thespesios,69153,,['fresh'],[]
Enteromius thysi,11492,Parmička kakenská,['fresh'],[]
Enteromius tiekoroi,5315,Parmička kolenténská,['fresh'],[]
Enteromius tomiensis,11493,Parmička tominská,['fresh'],[]
