ScientificName,SpecCode,CommonName,Environments,Subspecies
Gymnocypris chilianensis,55387,Osman kansunský,['fresh'],[]
Gymnocypris chui,54529,Osman tibetský,['fresh'],[]
Gymnocypris dobula,54523,Osman čínský,['fresh'],[]
Gymnocypris eckloni,55382,Eckloni paljaskarbik,['fresh'],[]
Gymnocypris firmispinatus,56080,Kalkuim-paljaskarbik,['fresh'],[]
Gymnocypris namensis,56099,Namtso paljaskarbik,['fresh'],[]
Gymnocypris potanini,55384,Osman Potaninův,['fresh'],[]
Gymnocypris przewalskii,55381,Osman Przewalského,['fresh'],[]
Gymnocypris scleracanthus,56081,Langtso paljaskarbik,['fresh'],[]
Gymnocypris waddellii,54530,Osman Waddellův,['fresh'],[]
