ScientificName,SpecCode,CommonName,Environments,Subspecies
Labeobarbus acuticeps,11274,Matthes' barb,['fresh'],[]
Labeobarbus acutirostris,56331,Parma ostrorypá,['fresh'],[]
Labeobarbus aeneus,4818,Clanwilliam yellowfish,['fresh'],[]
Labeobarbus alluaudi,11279,Parmička ruvenzorská,['fresh'],[]
Labeobarbus altianalis,11282,Adel,['fresh'],[]
Labeobarbus altipinnis,11624,Chramule vysokoploutvá,['fresh'],[]
Labeobarbus ansorgii,11625,Ansorge`i lõunaramul,['fresh'],[]
Labeobarbus aspius,11829,Lebuzi mokkparrak,['fresh'],[]
Labeobarbus axelrodi,62113,Axelrodi lõunaramul,['fresh'],[]
Labeobarbus batesii,11308,Batesi mokkparrak,['fresh'],[]
Labeobarbus beso,11627,Afedimdim,['fresh'],[]
Labeobarbus boulengeri,11634,Chramule širokonosá,['fresh'],[]
Labeobarbus brauni,11628,Brauni lõunaramul,['fresh'],[]
Labeobarbus brevicephalus,56364,Lühipea-mokkparrak,['fresh'],[]
Labeobarbus brevispinis,11318,Lühioga-mokkparrak,['fresh'],[]
Labeobarbus bynni,11320,Aflomegbogboe,['fresh'],[]
Labeobarbus cardozoi,11325,Cardozo mokkparrak,['fresh'],[]
Labeobarbus caudovittatus,11331,Juovapyrstöbarbi,['fresh'],[]
Labeobarbus clarkeae,54455,Chramule angolská,['fresh'],[]
Labeobarbus claudinae,50870,Akagera pardkala,['fresh'],[]
Labeobarbus codringtonii,11339,Bo-Zambezi-geelvis,['fresh'],[]
Labeobarbus compiniei,11341,Barbus,['fresh'],[]
Labeobarbus crassibarbis,56361,Lihavpois-mokkparrak,['fresh'],[]
Labeobarbus dainellii,56371,Dainelli mokkparrak,['fresh'],[]
Labeobarbus dartevellei,11344,Matadi pardkala,['fresh'],[]
Labeobarbus dimidiatus,54618,Blacktop chiselmouth,['fresh'],[]
Labeobarbus ensifer,11630,Chramule jihoafrická,['fresh'],[]
Labeobarbus ensis,11349,Cunje pardkala,['fresh'],[]
Labeobarbus ethiopicus,12681,Etioopia pardkala,['fresh'],[]
Labeobarbus fasolt,11353,Fasolt-pardkala,['fresh'],[]
Labeobarbus fimbriatus,11631,Chramule kamerunská,['fresh'],[]
Labeobarbus gananensis,11356,Ganana pardkala,['fresh'],[]
Labeobarbus gestetneri,11357,Gestetneri pardkala,['fresh'],[]
Labeobarbus girardi,11358,Girardi pardkala,['fresh'],[]
Labeobarbus gorgorensis,56370,Gorgora mokkparrak,['fresh'],[]
Labeobarbus gorguari,56366,Etioopia mokkparrak,['fresh'],[]
Labeobarbus gruveli,5300,Gruveli pardkala,['fresh'],[]
Labeobarbus gulielmi,11361,Dondo pardkala,['fresh'],[]
Labeobarbus habereri,11364,Habereri mokkparrak,['fresh'],[]
Labeobarbus huloti,11366,Huloti pardkala,['fresh'],[]
Labeobarbus humphri,11370,Beni pardkala,['fresh'],[]
Labeobarbus intermedius,11371,Baringo barb,['fresh'],[]
Labeobarbus iphthimostoma,11632,Chramule lufirská,['fresh'],[]
Labeobarbus iturii,11373,Ituri pardkala,['fresh'],[]
Labeobarbus jaegeri,11633,Chramule sanaganská,['fresh'],[]
Labeobarbus johnstonii,5416,Chikasu,['fresh'],[]
Labeobarbus jubae,63506,Juba lõunaramul,['fresh'],[]
Labeobarbus jubbi,11377,Jubbi pardkala,['fresh'],[]
Labeobarbus kimberleyensis,4673,Grootbek-geelvis,['fresh'],[]
Labeobarbus lagensis,5296,Barbs,['fresh'],[]
Labeobarbus latirostris,68144,,['fresh'],[]
Labeobarbus leleupanus,11635,Chramule tanganická,['fresh'],[]
Labeobarbus longidorsalis,11636,Chramule kivunská,['fresh'],[]
Labeobarbus longifilis,11387,Louhoho pardkala,['fresh'],[]
Labeobarbus longissimus,56360,Parma štíhlá,['fresh'],[]
Labeobarbus lucius,11390,Haugjas mokkparrak,['fresh'],[]
Labeobarbus lufupensis,11637,Chramule lufapanská,['fresh'],[]
Labeobarbus macroceps,11398,Epulu pardkala,['fresh'],[]
Labeobarbus macrolepidotus,11638,Chramule velkošupinná,['fresh'],[]
Labeobarbus macrolepis,11399,Parma velkošupinná,['fresh'],[]
Labeobarbus macrophtalmus,56369,Ayne fetata,['fresh'],[]
