ScientificName,SpecCode,CommonName,Environments,Subspecies
Osteochilus bellus,17433,Kaunis luumokk,['fresh'],[]
Osteochilus bleekeri,64792,Bleekeri luumokk,['fresh'],[]
Osteochilus borneensis,17434,Borneo luumokk,['fresh'],[]
Osteochilus brachynotopteroides,27160,Kontumi luumokk,['fresh'],[]
Osteochilus chini,27340,Chini luumokk,['fresh'],[]
Osteochilus enneaporos,17435,Tai luumokk,['fresh'],[]
Osteochilus flavicauda,65097,Kollasaba-luumokk,['fresh'],[]
Osteochilus harrisoni,17436,Harrisoni luumokk,['fresh'],[]
Osteochilus ingeri,27339,Ingeri luumokk,['fresh'],[]
Osteochilus intermedius,17437,Menyadin,['fresh'],[]
Osteochilus jeruk,58340,Oranž luumokk,['fresh'],[]
Osteochilus kahajanensis,17438,Kahajani luumokk,['fresh'],[]
Osteochilus kappenii,17439,Kappeni luumokk,['fresh'],[]
Osteochilus kelabau,22817,Kelabau,['fresh'],[]
Osteochilus kerinciensis,64994,Kerinci luumokk,['fresh'],[]
Osteochilus kuekenthali,52598,Kükenthali luumokk,"['fresh', 'brackish']",[]
Osteochilus lini,27161,Lini luumokk,['fresh'],[]
Osteochilus longidorsalis,54300,Drobníček indický,['fresh'],[]
Osteochilus melanopleura,16124,Aro,['fresh'],[]
Osteochilus microcephalus,17441,Bantak,['fresh'],[]
Osteochilus nashii,24089,Chandkas barb,['fresh'],[]
Osteochilus partilineatus,27013,Engkarit,['fresh'],[]
Osteochilus pentalineatus,17442,Tvrdoretka pětipruhá,['fresh'],[]
Osteochilus repang,17445,Repang,['fresh'],[]
Osteochilus salsburyi,28241,&#32441;&#21767;&#40060;,['fresh'],[]
Osteochilus sarawakensis,27342,Sarawaki luumokk,['fresh'],[]
Osteochilus scapularis,65633,Tumetäpp-luumokk,['fresh'],[]
Osteochilus schlegelii,16131,Aralin,['fresh'],[]
Osteochilus serokan,58341,Soo-luumokk,['fresh'],[]
Osteochilus sondhii,24082,Sondhi luumokk,['fresh'],[]
Osteochilus spilurus,5432,Bantak batu,['fresh'],[]
Osteochilus striatus,50352,Mekongi luumokk,['fresh'],[]
Osteochilus vittatoides,65636,Idaborneo luumokk,['fresh'],[]
Osteochilus vittatus,277,Asah-asah,['fresh'],[]
Osteochilus waandersii,17448,Bantak batu,['fresh'],[]
