ScientificName,SpecCode,CommonName,Environments,Subspecies
Pseudobarbus afer,9817,Eastern Cape redfin,['fresh'],[]
Pseudobarbus asper,9924,Kare punapardlik,['fresh'],[]
Pseudobarbus burchelli,6137,Breede redfin,['fresh'],[]
Pseudobarbus burgi,6138,Berg redfin,['fresh'],[]
Pseudobarbus phlegethon,6139,Fiery redfin,['fresh'],[]
Pseudobarbus quathlambae,6140,Drakensberg minnow,['fresh'],[]
Pseudobarbus senticeps,68176,,['fresh'],[]
Pseudobarbus skeltoni,67147,Giant redfin,['fresh'],[]
Pseudobarbus swartzi,68174,Gamtoos redfin,['fresh'],[]
Pseudobarbus tenuis,6097,Parmička štíhlá,['fresh'],[]
Pseudobarbus verloreni,67576,Verlorenvlei redfin,['fresh'],[]
