ScientificName,SpecCode,CommonName,Environments,Subspecies
Puntius ambassis,61489,Idaindia puntius,['fresh'],[]
Puntius amphibius,24092,Khavli,"['fresh', 'brackish']",[]
Puntius aphya,61864,Jaava puntius,['fresh'],[]
Puntius arenatus,24096,Arenatus barb,['fresh'],[]
Puntius bimaculatus,13635,Ipilli kadaya,['fresh'],[]
Puntius bramoides,58186,Balar,['fresh'],[]
Puntius brevis,22821,Cá ram,['fresh'],[]
Puntius burmanicus,24144,Birma puntius,['fresh'],[]
Puntius cauveriensis,65239,Cauvery barb,['fresh'],[]
Puntius chola,10796,Chala punti,['fresh'],[]
Puntius crescentus,60629,Parmička sunderinská,['fresh'],[]
Puntius deccanensis,24147,Deccan barb,['fresh'],[]
Puntius dolichopterus,67787,Long fin Kerala barb,['fresh'],[]
Puntius dorsalis,13193,Cauvery meenu,['fresh'],[]
Puntius fraseri,24149,Dharna barb,['fresh'],[]
Puntius kamalika,64154,Kamalika puntius,['fresh'],[]
Puntius kelumi,64798,Kelumi puntius,['fresh'],[]
Puntius khohi,65140,Khohi puntius,['fresh'],[]
Puntius layardi,65177,Layardi puntius,['fresh'],[]
Puntius madhusoodani,66459,Madhusoodana puntius,['fresh'],[]
Puntius mahecola,61902,Mahé puntius,['fresh'],[]
Puntius masyai,27128,Masya puntius,['fresh'],[]
Puntius melanostigma,66711,Mustlaik-puntius,['fresh'],[]
Puntius morehensis,59967,Morehi puntius,['fresh'],[]
Puntius mudumalaiensis,54299,Mudumalai puntius,['fresh'],[]
Puntius muzaffarpurensis,66712,Muzaffarpuri puntius,['fresh'],[]
Puntius nangalensis,60193,Nangali puntius,['fresh'],[]
Puntius nelsoni,67800,Travancore yellow barb,['fresh'],[]
Puntius nigronotus,67803,Malabar black-backed barb,['fresh'],[]
Puntius parrah,13196,Pakke,['fresh'],[]
Puntius paucimaculatus,54929,Hõrelaik-puntius,['fresh'],[]
Puntius pinnauratus,68205,,['fresh'],[]
Puntius pugio,63877,Ogapuntius,['fresh'],[]
Puntius punjabensis,24155,Parmička lahorská,['fresh'],[]
Puntius puntio,24159,Harilik puntius,['fresh'],[]
Puntius sachsii,12150,Goldfinned barb,['fresh'],[]
Puntius sahyadriensis,24174,Gende,['fresh'],[]
Puntius sealei,59488,Seale`i puntius,['fresh'],[]
Puntius snyderi,65141,Snyderi puntius,['fresh'],[]
Puntius sophore,10137,Allikkobarbi,"['fresh', 'brackish']",[]
Puntius sophoroides,60625,Lammipuntius,['fresh'],[]
Puntius spilopterus,61705,Tai puntius,['fresh'],[]
Puntius stigma,68203,,['fresh'],[]
Puntius takhoaensis,61283,Vietnami puntius,['fresh'],[]
Puntius terio,12163,Ainulaik-puntius,['fresh'],[]
Puntius tetraspilus,61873,Nelilaik-puntius,['fresh'],[]
Puntius thermalis,66710,Sri Lanka swamp barb,['fresh'],[]
Puntius titteya,6147,Bitterlingsbarbe,['fresh'],[]
Puntius viridis,67282,Rohekas puntius,['fresh'],[]
Puntius vittatus,12170,Greenstripe barb,"['fresh', 'brackish']",[]
Puntius waageni,24187,Parmička Waagenova,['fresh'],[]
