ScientificName,SpecCode,CommonName,Environments,Subspecies
Schizothorax argentatus,12226,Balhaši marinka,['fresh'],[]
Schizothorax beipanensis,64882,Beipani marinka,['fresh'],[]
Schizothorax biddulphi,55357,Marinka Biddulphova,['fresh'],[]
Schizothorax chongi,55964,Marinka sečuánská,['fresh'],[]
Schizothorax cryptolepis,60147,Marinka skrytošupinná,['fresh'],[]
Schizothorax curvifrons,24427,Common marinka,['fresh'],[]
Schizothorax curvilabiatus,55980,Kurvmokk-marinka,['fresh'],[]
Schizothorax dainellii,61940,Dainelli kurdkõht,['fresh'],[]
Schizothorax davidi,55954,Davidi marinka,['fresh'],[]
Schizothorax dolichonema,54515,Marinka dyčunská,['fresh'],[]
Schizothorax dulongensis,55974,Dulongi marinka,['fresh'],[]
Schizothorax edeniana,55949,Edeni marinka,['fresh'],[]
Schizothorax elongatus,55976,Marinka protažená,['fresh'],[]
Schizothorax esocinus,24430,Chhurru,['fresh'],[]
Schizothorax eurystomus,60148,Laisuu-marinka,['fresh'],[]
Schizothorax gongshanensis,56103,Gongshani marinka,['fresh'],[]
Schizothorax grahami,54516,Grahami marinka,['fresh'],[]
Schizothorax griseus,55956,Hall marinka,['fresh'],[]
Schizothorax heteri,67223,Irrawaddy marinka,['fresh'],[]
Schizothorax heterochilus,60133,Erihuul-marinka,['fresh'],[]
Schizothorax heterophysallidos,64881,Nanpani marinka,['fresh'],[]
Schizothorax huegelii,61490,Hügeli marinka,['fresh'],[]
Schizothorax integrilabiatus,56087,Marinka tibetská,['fresh'],[]
Schizothorax kozlovi,14462,Kozlovi marinka,['fresh'],[]
Schizothorax kumaonensis,24456,Kumaon snowtrout,['fresh'],[]
Schizothorax labiatus,24432,Chush,['fresh'],[]
Schizothorax labrosus,55988,Lugu marinka,['fresh'],[]
Schizothorax lantsangensis,54514,Lantsangi marinka,['fresh'],[]
Schizothorax lepidothorax,26100,Fuxiani marinka,['fresh'],[]
Schizothorax leukus,67222,Näsahuul-marinka,['fresh'],[]
Schizothorax lissolabiatus,14460,Marinka říční,['fresh'],[]
Schizothorax longibarbus,55995,Marinka dlouhovousá,['fresh'],[]
Schizothorax macrophthalmus,24451,Marinka velkooká,['fresh'],[]
Schizothorax macropogon,54491,Lhasa marinka,['fresh'],[]
Schizothorax malacanthus,55977,Dayingi marinka,['fresh'],[]
Schizothorax meridionalis,14459,Longchuani marinka,['fresh'],[]
Schizothorax microcephalus,55952,Marinka malohlavá,['fresh'],[]
Schizothorax microstomus,55982,Väikesuu-marinka,['fresh'],[]
Schizothorax molesworthi,54490,Asla,['fresh'],[]
Schizothorax myzostomus,55990,Imisuu-marinka,['fresh'],[]
Schizothorax nasus,13241,Dongu snowtrout,['fresh'],[]
Schizothorax nepalensis,56756,Asla,['fresh'],[]
Schizothorax ninglangensis,55984,Marinka ninglangská,['fresh'],[]
Schizothorax nudiventris,64876,Paljaskõht-marinka,['fresh'],[]
Schizothorax nukiangensis,54513,Marinka nukiangská,['fresh'],[]
Schizothorax oconnori,54493,Marinka O' Connorova,['fresh'],[]
Schizothorax oligolepis,55979,Marinka tombiguanská,['fresh'],[]
Schizothorax parvus,55991,Marinka malá,['fresh'],[]
Schizothorax pelzami,48167,Khaju,['fresh'],[]
Schizothorax plagiostomus,54512,Asaila,['fresh'],[]
Schizothorax prenanti,55358,Marinka Prenantova,['fresh'],[]
Schizothorax progastus,13244,Chuchhe Asala,['fresh'],[]
Schizothorax pseudoaksaiensis,48168,Ili marinka,['fresh'],[]
Schizothorax raraensis,24455,Rara marinka,['fresh'],[]
Schizothorax richardsonii,8705,Alawan snowtrout,['fresh'],[]
Schizothorax rotundimaxillaris,55993,Marinka tančongská,['fresh'],[]
Schizothorax sinensis,55953,Hiina marinka,['fresh'],[]
Schizothorax skarduensis,62443,Skardu marinka,['fresh'],[]
Schizothorax waltoni,54492,Marinka Waltonova,['fresh'],[]
Schizothorax wangchiachii,14458,Kärestikumarinka,['fresh'],[]
Schizothorax yunnanensis,55994,Marinka junanská,['fresh'],[]
Schizothorax zarudnyi,55301,Anjac,['fresh'],[]
