ScientificName,SpecCode,CommonName,Environments,Subspecies
Sinocyclocheilus altishoulderus,60115,Kõrgselg-sõõrhuul,['fresh'],[]
Sinocyclocheilus anatirostris,26103,Cave dragon,['fresh'],[]
Sinocyclocheilus angularis,49932,Gara jeskynní,['fresh'],[]
Sinocyclocheilus angustiporus,56306,Ahaspilu-sõõrhuul,['fresh'],[]
Sinocyclocheilus anophthalmus,6150,Blind golden-line barbel,['fresh'],[]
Sinocyclocheilus anshuiensis,67194,Anshui sõõrhuul,['fresh'],[]
Sinocyclocheilus aquihornes,64531,Kotkassarv-sõõrhuul,['fresh'],[]
Sinocyclocheilus biangularis,61941,Vigel-sõõrhuul,['fresh'],[]
Sinocyclocheilus bicornutus,62465,Sarvik-sõõrhuul,['fresh'],[]
Sinocyclocheilus brevibarbatus,63818,Lühipoisene sõõrhuul,['fresh'],[]
Sinocyclocheilus brevifinus,67828,,['fresh'],[]
Sinocyclocheilus brevis,60116,Gara krátká,['fresh'],[]
Sinocyclocheilus broadihornes,64532,Laisarv-sõõrhuul,['fresh'],[]
Sinocyclocheilus cyphotergous,49934,Küürselg-sõõrhuul,['fresh'],[]
Sinocyclocheilus donglanensis,62889,Donglani sõõrhuul,['fresh'],[]
Sinocyclocheilus dongtangensis,66165,Dongtangi sõõrhuul,['fresh'],[]
Sinocyclocheilus flexuosdorsalis,66455,Kooldküür-sõõrhuul,['fresh'],[]
Sinocyclocheilus furcodorsalis,60113,Crossed-fork back golden-line barbel,['fresh'],[]
Sinocyclocheilus gracilicaudatus,67297,Salesaba-sõõrhuul,['fresh'],[]
Sinocyclocheilus gracilis,67764,,['fresh'],[]
Sinocyclocheilus grahami,56266,Dianchi sõõrhuul,['fresh'],[]
Sinocyclocheilus guanduensis,67012,Guandu sõõrhuul,['fresh'],[]
Sinocyclocheilus guilinensis,61942,Guilini sõõrhuul,['fresh'],[]
Sinocyclocheilus guishanensis,64036,Guishani sõõrhuul,['fresh'],[]
Sinocyclocheilus hei,67015,Kunmingi sõõrhuul,['fresh'],[]
Sinocyclocheilus huanglongdongensis,67014,Huanglongi sõõrhuul,['fresh'],[]
Sinocyclocheilus huangtianensis,66043,Huangtiani sõõrhuul,['fresh'],[]
Sinocyclocheilus huaningensis,62470,Huaningi sõõrhuul,['fresh'],[]
Sinocyclocheilus huanjiangensis,66277,Huanjiangi sõõrhuul,['fresh'],[]
Sinocyclocheilus hugeibarbus,63037,Pikapoisene sõõrhuul,['fresh'],[]
Sinocyclocheilus huizeensis,68200,,['fresh'],[]
Sinocyclocheilus hyalinus,49933,Gara průsvitná,['fresh'],[]
Sinocyclocheilus jii,60119,Gara Jiova,['fresh'],[]
Sinocyclocheilus jiuxuensis,62471,Jiuxu sõõrhuul,['fresh'],[]
Sinocyclocheilus lateristriatus,60120,Gara bokopruhá,['fresh'],[]
Sinocyclocheilus liboensis,62472,Libo sõõrhuul,['fresh'],[]
Sinocyclocheilus lingyunensis,60500,Lingyu sõõrhuul,['fresh'],[]
Sinocyclocheilus longibarbatus,60121,Poisur-sõõrhuul,['fresh'],[]
Sinocyclocheilus longicornus,69927,Long-horned golden-lined fish,['fresh'],[]
Sinocyclocheilus longifinus,61944,Pikkuim-sõõrhuul,['fresh'],[]
Sinocyclocheilus luolouensis,67547,,['fresh'],[]
Sinocyclocheilus luopingensis,62473,Luopingi sõõrhuul,['fresh'],[]
Sinocyclocheilus macrocephalus,60122,Gara velkohlavá,['fresh'],[]
Sinocyclocheilus macrolepis,60127,Gara velkošupinná,['fresh'],[]
Sinocyclocheilus macrophthalmus,60501,Suursilm-sõõrhuul,['fresh'],[]
Sinocyclocheilus macroscalus,60126,Luliangi sõõrhuul,['fresh'],[]
Sinocyclocheilus maculatus,62474,Täpiline sõõrhuul,['fresh'],[]
Sinocyclocheilus maitianheensis,60123,Gara nanpanská,['fresh'],[]
Sinocyclocheilus malacopterus,56304,Gara měkkoploutvá,['fresh'],[]
Sinocyclocheilus mashanensis,66278,Mashani sõõrhuul,['fresh'],[]
Sinocyclocheilus microphthalmus,26436,Gara malooká,['fresh'],[]
Sinocyclocheilus multipunctatus,56075,Gara mnohoskvrnná,['fresh'],[]
Sinocyclocheilus oxycephalus,60124,Gara lunanská,['fresh'],[]
Sinocyclocheilus purpureus,60125,Gara šarlatová,['fresh'],[]
Sinocyclocheilus qiubeiensis,61945,Qiubei sõõrhuul,['fresh'],[]
Sinocyclocheilus qujingensis,62475,Qujingi sõõrhuul,['fresh'],[]
Sinocyclocheilus rhinocerous,59961,Ninasarv-sõõrhuul,['fresh'],[]
Sinocyclocheilus robustus,59926,Tüse sõõrhuul,['fresh'],[]
Sinocyclocheilus tianlinensis,62373,Tianlini sõõrhuul,['fresh'],[]
Sinocyclocheilus tileihornes,62477,Sindelsarv-sõõrhuul,['fresh'],[]
Sinocyclocheilus tingi,60117,Fuxiani sõõrhuul,['fresh'],[]
Sinocyclocheilus wui,67011,Wu sõõrhuul,['fresh'],[]
Sinocyclocheilus wumengshanensis,63038,Wumengshani sõõrhuul,['fresh'],[]
Sinocyclocheilus xichouensis,67197,Xichou sõõrhuul,['fresh'],[]
Sinocyclocheilus xunlensis,62478,Xunle sõõrhuul,['fresh'],[]
Sinocyclocheilus yangzongensis,60118,Yangzongi sõõrhuul,['fresh'],[]
Sinocyclocheilus yaolanensis,65143,Yaolani sõõrshuul,['fresh'],[]
Sinocyclocheilus yimenensis,63039,Yimeni sõõrhuul,['fresh'],[]
Sinocyclocheilus yishanensis,60114,Yishani sõõrhuul,['fresh'],[]
