ScientificName,SpecCode,CommonName,Environments,Subspecies
Spinibarbus babeensis,62833,Cá Sinh thân cao,['fresh'],[]
Spinibarbus brevicephalus,67419,,['fresh'],[]
Spinibarbus caldwelli,17293,&#40657;&#33034;&#20498;&#21050;&#40067;,['fresh'],[]
Spinibarbus denticulatus,14441,Cá Bỗng,['fresh'],[]
Spinibarbus hollandi,67455,Hollandi astelparrak,['fresh'],[]
Spinibarbus maensis,65781,Ma astelparrak,['fresh'],[]
Spinibarbus nammauensis,62834,Nammẫu astelparrak,['fresh'],[]
Spinibarbus ovalius,62835,Ovaalne astelparrak,['fresh'],[]
Spinibarbus sinensis,62460,Hiina astelparrak,['fresh'],[]
Spinibarbus vittatus,67420,,['fresh'],[]
