ScientificName,SpecCode,CommonName,Environments,Subspecies
Dactyloscopus amnis,60681,Miraestrellas ribereña,"['brackish', 'salt']",[]
Dactyloscopus boehlkei,50438,Shortchin stargazer,['salt'],[]
Dactyloscopus byersorum,58232,Miraestrellas coliranurada,['salt'],[]
Dactyloscopus comptus,50471,,['salt'],[]
Dactyloscopus crossotus,3698,Bigeye stargazer,['salt'],[]
Dactyloscopus elongatus,66062,,['salt'],[]
Dactyloscopus fallax,66063,,['salt'],[]
Dactyloscopus fimbriatus,60685,Fringed stargazer,['salt'],[]
Dactyloscopus foraminosus,50467,Reticulate stargazer,['salt'],[]
Dactyloscopus heraldi,66061,,['salt'],[]
Dactyloscopus insulatus,66065,,['salt'],[]
Dactyloscopus lacteus,56670,Milky sand stargazer,['salt'],[]
Dactyloscopus lunaticus,58233,Miraestrellas lunática,['salt'],[]
Dactyloscopus metoecus,60683,Mexican stargazer,['salt'],[]
Dactyloscopus minutus,60677,Miraestrellas chiquita,['salt'],[]
Dactyloscopus moorei,12440,Spættet stjernekiggerslimfisk,['salt'],[]
Dactyloscopus pectoralis,46622,Hvidsadlet stjernekiggerslimfisk,['salt'],[]
Dactyloscopus poeyi,16448,Mirón ojicorto,['salt'],[]
Dactyloscopus tridigitatus,3699,Mira-céu-da-areia,['salt'],[]
Dactyloscopus zelotes,60684,嫉指鰧,['salt'],[]
