ScientificName,SpecCode,CommonName,Environments,Subspecies
Gillellus arenicola,46626,Miraestrella,['salt'],[]
Gillellus chathamensis,46629,Cocos stargazer,['salt'],[]
Gillellus greyae,3700,Arrow stargazer,['salt'],[]
Gillellus healae,12441,Masked stargazer,['salt'],[]
Gillellus inescatus,60689,,['salt'],[]
Gillellus jacksoni,50480,,['salt'],[]
Gillellus ornatus,58234,Miraestrellas,['salt'],[]
Gillellus searcheri,46634,Miraestrella,['salt'],[]
Gillellus semicinctus,46649,Halfbanded stargazer,['salt'],[]
Gillellus uranidea,3702,Vorteøjet stjernekiggerslimfisk,['salt'],[]
