ScientificName,SpecCode,CommonName,Environments,Subspecies
Danio absconditus,67864,,['fresh'],[]
Danio aesculapii,65026,Eskulaapdaanio,['fresh'],[]
Danio albolineatus,10824,Biserna cebrica,['fresh'],[]
Danio annulosus,67856,,['fresh'],[]
Danio assamila,67857,,['fresh'],[]
Danio catenatus,67858,,['fresh'],[]
Danio choprae,24366,Dánio myanmarské,['fresh'],[]
Danio concatenatus,67860,,['fresh'],[]
Danio dangila,24381,Dangila danio,['fresh'],[]
Danio erythromicron,24410,Kääbusdaanio,['fresh'],[]
Danio feegradei,61454,Feegrade`i daanio,['fresh'],[]
Danio flagrans,66927,Hõõgdaanio,['fresh'],[]
Danio htamanthinus,70294,,['fresh'],[]
Danio jaintianensis,65174,Jaintia daanio,['fresh'],[]
Danio kerri,12066,Blue danio,['fresh'],[]
Danio kyathit,54620,Dánio dlouhovousé,['fresh'],[]
Danio margaritatus,63298,Celestial Pearl Danio,['fresh'],[]
Danio meghalayensis,65977,Meghalaya daanio,['fresh'],[]
Danio muongthanhensis,62816,Loodevietnami daanio,['fresh'],[]
Danio nigrofasciatus,12067,Danie tečkovaná,['fresh'],[]
Danio quagga,65173,Kvaggadaanio,['fresh'],[]
Danio quangbinhensis,61457,Keskvietnami daanio,['fresh'],[]
Danio rerio,4653,Anju,['fresh'],[]
Danio roseus,58017,Dánio růžové,['fresh'],[]
Danio sysphigmatus,67861,,['fresh'],[]
Danio tinwini,65187,Myanmari daanio,['fresh'],[]
Danio trangi,65175,Trangi daanio,['fresh'],[]
