ScientificName,SpecCode,CommonName,Environments,Subspecies
Esomus ahli,24397,Ahli lenddaanio,['fresh'],[]
Esomus altus,24398,Kõrge lenddaanio,['fresh'],[]
Esomus barbatus,24399,Letounek vousatý,['fresh'],[]
Esomus caudiocellatus,54676,Laiksaba-lenddaanio,['fresh'],[]
Esomus danrica,5150,Astapakke,"['fresh', 'brackish']",[]
Esomus lineatus,12070,Juovalentobarbi,"['fresh', 'brackish']",[]
Esomus longimanus,27062,Cá lòng tong bay,['fresh'],[]
Esomus malabaricus,61953,Malabari lenddaanio,['fresh'],[]
Esomus malayensis,12071,Almindelig flyvebarbe,['fresh'],[]
Esomus manipurensis,61884,Manipuri lenddaanio,['fresh'],[]
Esomus metallicus,16176,Hõbejas lenddaanio,"['fresh', 'brackish']",[]
Esomus thermoicos,13626,Flying barb,['fresh'],[]
