ScientificName,SpecCode,CommonName,Environments,Subspecies
Laubuka brahmaputraensis,66553,Brahmaputra laubuk,['fresh'],[]
Laubuka caeruleostigmata,6102,Asian hatchetfish,['fresh'],[]
Laubuka fasciata,24213,Kiiltokölibarbi,['fresh'],[]
Laubuka hema,69844,Gal oya blue laubuka,['fresh'],[]
Laubuka lankensis,64697,Lanka blue laubuka,['fresh'],[]
Laubuka latens,68841,,['fresh'],[]
Laubuka laubuca,12061,Bankoe,"['fresh', 'brackish']",[]
Laubuka parafasciata,68840,,['fresh'],[]
Laubuka siamensis,67464,Tai laubuk,['fresh'],[]
Laubuka tenella,68836,,['fresh'],[]
Laubuka trevori,68842,,['fresh'],[]
Laubuka varuna,64010,Läänelaubuk,['fresh'],[]
