ScientificName,SpecCode,CommonName,Environments,Subspecies
Rasbora adisi,69838,Gal oya striped rasbora,['fresh'],[]
Rasbora amplistriga,57702,Laitriip-rasboora,['fresh'],[]
Rasbora api,65858,Lõõmrasboora,['fresh'],[]
Rasbora aprotaenia,22499,Jaava rasboora,['fresh'],[]
Rasbora argyrotaenia,5169,Buntung,['fresh'],[]
Rasbora armitagei,65475,Armitagei's striped rasbora,['fresh'],[]
Rasbora arundinata,67287,Süstikjoon-rasboora,"['fresh', 'brackish']",[]
Rasbora atranus,66357,Mustlaik-rasboora,['fresh'],[]
Rasbora atridorsalis,50500,Razbora junanská,['fresh'],[]
Rasbora aurotaenia,27064,Cá lòng tong da,['fresh'],[]
Rasbora baliensis,22502,Bali rasboora,['fresh'],[]
Rasbora bankanensis,10351,Bangka rasboora,['fresh'],[]
Rasbora beauforti,55825,Beauforti rasboora,['fresh'],[]
Rasbora bindumatoga,67498,Kantrasboora,['fresh'],[]
Rasbora borapetensis,10834,Blackline rasbora,['fresh'],[]
Rasbora borneensis,10361,Borneo rasboora,['fresh'],[]
Rasbora bunguranensis,22510,Bungurani rasboora,['fresh'],[]
Rasbora caudimaculata,10364,Enseluai,['fresh'],[]
Rasbora caverii,10377,Cauveri rasbora,"['fresh', 'brackish']",[]
Rasbora cephalotaenia,10365,Enseluai,['fresh'],[]
Rasbora chrysotaenia,12173,Goldstripe rasbora,['fresh'],[]
Rasbora cryptica,67318,Peitrasboora,['fresh'],[]
Rasbora dandia,67852,Broad striped rasbora,['fresh'],[]
Rasbora daniconius,5493,Angjani,"['fresh', 'brackish']",[]
Rasbora dies,63618,Tarakani rasboora,['fresh'],[]
Rasbora dorsinotata,52309,Razbora thajská,['fresh'],[]
Rasbora dusonensis,10370,Enseluai,['fresh'],[]
Rasbora einthovenii,10371,Blue line rasbora,['fresh'],[]
Rasbora elegans,12179,Elegant rasbora,['fresh'],[]
Rasbora ennealepis,22519,Kapuasi rasboora,['fresh'],[]
Rasbora everetti,65880,Everetti rasboora,['fresh'],[]
Rasbora gerlachi,60448,Gerlachi rasboora,['fresh'],[]
Rasbora haru,67496,Haru rasboora,['fresh'],[]
Rasbora hobelmani,10380,Hobelmani rasboora,['fresh'],[]
Rasbora hosii,63043,Kalimantani rasboora,['fresh'],[]
Rasbora hubbsi,5435,Hubbs Bärbling,['fresh'],[]
Rasbora jacobsoni,22598,Jacobsoni rasboora,['fresh'],[]
Rasbora johannae,27254,Ojarasboora,['fresh'],[]
Rasbora kalbarensis,22827,Kalbar rasbora,['fresh'],[]
Rasbora kalochroma,10372,Bigspot rasbora,['fresh'],[]
Rasbora kluetensis,65860,Klueti rasboora,['fresh'],[]
Rasbora kobonensis,65353,Kobo rasboora,['fresh'],[]
Rasbora kottelati,27256,Kottelati rasboora,['fresh'],[]
Rasbora labiosa,24415,Dandai,['fresh'],[]
Rasbora lacrimula,65094,Pisarlaik-rasboora,['fresh'],[]
Rasbora lateristriata,5167,Cá lòng tong dá,['fresh'],[]
Rasbora laticlavia,46274,Lillatriip-rasboora,['fresh'],[]
Rasbora leptosoma,12191,Copperstripe rasbora,['fresh'],[]
Rasbora maninjau,67497,Ikan badar,['fresh'],[]
Rasbora meinkeni,22606,Domba,['fresh'],[]
Rasbora microcephalus,68402,Narrow striped rasbora,['fresh'],[]
Rasbora myersi,67198,Myersi rasboora,['fresh'],[]
Rasbora naggsi,65476,Naggsi rasboora,['fresh'],[]
Rasbora nematotaenia,65354,Peentriip-rasboora,['fresh'],[]
Rasbora nodulosa,65859,Mügarpea-rasboora,['fresh'],[]
Rasbora notura,62453,Teemantrasboora,['fresh'],[]
Rasbora ornata,62990,Manipuri rasboora,['fresh'],[]
Rasbora patrickyapi,65084,Patricku rasboora,['fresh'],[]
Rasbora paucisqualis,12200,Großschuppenbärbling,['fresh'],[]
Rasbora paviana,27079,Neulajuovarasbora,['fresh'],[]
Rasbora philippina,5170,Filipiini rasboora,['fresh'],[]
Rasbora rasbora,10382,Dandai,"['fresh', 'brackish']",[]
Rasbora reticulata,22608,Netzbärbling,['fresh'],[]
Rasbora rheophila,67320,,['fresh'],[]
Rasbora rubrodorsalis,60206,Punauim-rasboora,['fresh'],[]
Rasbora rutteni,22625,Razbora Ruttenova,['fresh'],[]
Rasbora sarawakensis,10374,Hohderasbora,['fresh'],[]
Rasbora semilineata,22626,Pooljoon-rasboora,['fresh'],[]
Rasbora septentrionalis,57703,Põhjarasboora,['fresh'],[]
Rasbora spilotaenia,22632,Laiguline rasboora,['fresh'],[]
Rasbora steineri,12206,Chinese rasbora,['fresh'],[]
Rasbora subtilis,10375,Peen rasboora,['fresh'],[]
