ScientificName,SpecCode,CommonName,Environments,Subspecies
Hemitrygon akajei,940,Aka ei,"['brackish', 'salt']",[]
Hemitrygon bennettii,15387,Bennetti astelrai,['salt'],[]
Hemitrygon fluviorum,12583,Brown stingray,"['brackish', 'salt']",[]
Hemitrygon izuensis,54631,Izu astelrai,['salt'],[]
Hemitrygon laevigata,54629,Yantai astelrai,['salt'],[]
Hemitrygon laosensis,15389,Bobele,['fresh'],[]
Hemitrygon longicauda,68227,Merauke stingray,['salt'],[]
Hemitrygon navarrae,54626,Blackish stingray,['salt'],[]
Hemitrygon parvonigra,64143,Dwarf black stingray,"['brackish', 'salt']",[]
Hemitrygon sinensis,54627,Chinese pijlstaartrog,['salt'],[]
Hemitrygon yemenensis,69779,Hein's stingray,['salt'],[]
