ScientificName,SpecCode,CommonName,Environments,Subspecies
Himantura alcockii,12588,Bleekgevlekte pijlstaartrog,"['brackish', 'salt']",[]
Himantura australis,68037,Australian whipray,['salt'],[]
Himantura fava,63625,honeycomb whipray,['salt'],[]
Himantura fluviatilis,13149,Ganges stingray,"['fresh', 'brackish', 'salt']",[]
Himantura krempfi,27028,Gemarmerde zoetwaterpijlstaartrog,"['fresh', 'brackish']",[]
Himantura leoparda,64147,Jaaguar-nuutrai,['salt'],[]
Himantura marginata,13151,Black-edge whip ray,"['brackish', 'salt']",[]
Himantura microphthalma,54628,Kleinoogpijlstaartrog,['salt'],[]
Himantura pareh,57389,Indoneesia nuutrai,['salt'],[]
Himantura tutul,67649,Fine-spotted leopard whipray,['salt'],[]
Himantura uarnak,5507,Banded whiptail stingray,"['brackish', 'salt']",[]
Himantura undulata,12584,Fafalua,['salt'],[]
