ScientificName,SpecCode,CommonName,Environments,Subspecies
Distichodus affinis,11181,Herttapyrstötetra,['fresh'],[]
Distichodus altus,11182,Kõrge hammassalmler,['fresh'],[]
Distichodus antonii,11183,Antoni hammassalmler,['fresh'],[]
Distichodus atroventralis,11184,Harmaaherttatetra,['fresh'],[]
Distichodus brevipinnis,5255,Aciar,['fresh'],[]
Distichodus decemmaculatus,11188,Dværg-congolaks,['fresh'],[]
Distichodus engycephalus,5254,Agbasra,['fresh'],[]
Distichodus fasciolatus,11190,Grauband-Distichodus,['fresh'],[]
Distichodus hypostomatus,11191,Alasuu-hammassalmler,['fresh'],[]
Distichodus ingae,69120,,['fresh'],[]
Distichodus kasaiensis,69117,,['fresh'],[]
Distichodus kolleri,11192,Kolleri hammassalmler,['fresh'],[]
Distichodus langi,11193,Langi hammassalmler,['fresh'],[]
Distichodus lusosso,11195,Atilabeli,['fresh'],[]
Distichodus maculatus,11196,Bosoolo,['fresh'],[]
Distichodus mbiniensis,69817,,['fresh'],[]
Distichodus microps,69816,,['fresh'],[]
Distichodus mossambicus,11197,Mosambiigi hammassalmler,['fresh'],[]
Distichodus nefasch,11179,Aciar,['fresh'],[]
Distichodus noboli,11198,Pikkuherttatetra,['fresh'],[]
Distichodus notospilus,11199,Äschengeradsalmler,['fresh'],[]
Distichodus petersii,11200,Mbapale,['fresh'],[]
Distichodus polli,69108,,['fresh'],[]
Distichodus rostratus,2406,Accaare,['fresh'],[]
Distichodus rufigiensis,11202,Tansaania hammassalmler,['fresh'],[]
Distichodus schenga,11203,Chenga,['fresh'],[]
Distichodus sexfasciatus,10787,Banded distichodus,['fresh'],[]
Distichodus teugelsi,64700,Smaragdkarpelaks,['fresh'],[]
