ScientificName,SpecCode,CommonName,Environments,Subspecies
Nannocharax altus,11230,Kouilou väikesalmler,['fresh'],[]
Nannocharax angolensis,11208,Angola väikesalmler,['fresh'],[]
Nannocharax ansorgii,2407,Ansorge`i väikesalmler,['fresh'],[]
Nannocharax brevis,11231,Kongo väikesalmler,['fresh'],[]
Nannocharax chochamandai,70372,,['fresh'],[]
Nannocharax dageti,67332,Dageti väikesalmler,['fresh'],[]
Nannocharax elongatus,11232,Sale väikesalmler,['fresh'],[]
Nannocharax fasciatus,2408,Afrikanischer Bodensalmler,['fresh'],[]
Nannocharax fasciolaris,11233,Jutik-väikesalmler,['fresh'],[]
Nannocharax gracilis,56740,Sire väikesalmler,['fresh'],[]
Nannocharax hadros,69809,,['fresh'],[]
Nannocharax hastatus,67373,Odajas väikesalmler,['fresh'],[]
Nannocharax hollyi,11236,Oubangui väikesalmler,['fresh'],[]
Nannocharax intermedius,11237,Nannochorax,['fresh'],[]
Nannocharax latifasciatus,5258,Laitriip-väikesalmler,['fresh'],[]
Nannocharax lineomaculatus,5259,Laikjoon-väikesalmler,['fresh'],[]
Nannocharax lineostriatus,11210,Kambangaji,['fresh'],[]
Nannocharax luapulae,11239,Luapula väikesalmler,['fresh'],[]
Nannocharax machadoi,11211,Dwarf citharine,['fresh'],[]
Nannocharax macropterus,11240,Breëbalk-sitarien,['fresh'],[]
Nannocharax maculicauda,11241,Tähnsaba-väikesalmler,['fresh'],[]
Nannocharax micros,11242,Kribi väikesalmler,['fresh'],[]
Nannocharax minutus,11212,Pikkupohjastaja,['fresh'],[]
Nannocharax monardi,11213,Monardi väikesalmler,['fresh'],[]
Nannocharax multifasciatus,11215,Multibar citharine,['fresh'],[]
Nannocharax niloticus,11243,Niilinnuoliaistetra,['fresh'],[]
Nannocharax occidentalis,5260,Lääne-väikesalmler,['fresh'],[]
Nannocharax ocellicauda,11207,Silmiksaba-väikesalmler,['fresh'],[]
Nannocharax ogoensis,11244,Nannochorax,['fresh'],[]
Nannocharax parvus,11245,Breitband-Bodensalmler,['fresh'],[]
Nannocharax procatopus,11246,Back-Gammon Salmler,['fresh'],[]
Nannocharax pteron,11247,Keskaafrika väikesalmler,['fresh'],[]
Nannocharax reidi,62115,Reidi väikesalmler,['fresh'],[]
Nannocharax rubensteini,67000,Rubensteini väikesalmler,['fresh'],[]
Nannocharax rubrolabiatus,51552,Punahuulinuoliaistetra,['fresh'],[]
Nannocharax schoutedeni,11249,Schoutedeni väikesalmler,['fresh'],[]
Nannocharax signifer,65597,Lippuim-väikesalmler,['fresh'],[]
Nannocharax taenia,11251,Nuoliaistetra,['fresh'],[]
Nannocharax uniocellatus,11216,Ainiklaik-väikeslamler,['fresh'],[]
Nannocharax usongo,64888,Usongo väikesalmler,['fresh'],[]
Nannocharax wittei,11217,Mukiki,['fresh'],[]
Nannocharax zebra,64887,Sebra-väikesalmler,['fresh'],[]
