ScientificName,SpecCode,CommonName,Environments,Subspecies
Neolebias ansorgii,5262,Afrikasalmler,['fresh'],[]
Neolebias axelrodi,5264,Axelrodi pisisalmler,['fresh'],[]
Neolebias gossei,11175,Charan nain,['fresh'],[]
Neolebias gracilis,11252,Sale pisisalmler,['fresh'],[]
Neolebias kerguennae,11253,Kerguenne`i pisisalmler,['fresh'],[]
Neolebias lozii,58227,Balk-dwergsitarien,['fresh'],[]
Neolebias philippei,11254,Philippe`i pisisalmler,['fresh'],[]
Neolebias powelli,5265,Doomino-pisisalmler,['fresh'],[]
Neolebias spilotaenia,11178,Laiksaba-pisisalmler,['fresh'],[]
Neolebias trewavasae,11255,Juovadominotetra,['fresh'],[]
Neolebias trilineatus,11256,Afrikanischer Dreistreifensalmler,['fresh'],[]
Neolebias unifasciatus,5263,Afrikanischer Längsbandsalmler,['fresh'],[]
