ScientificName,SpecCode,CommonName,Environments,Subspecies
Nematalosa arabica,1610,Arabisk kråsesild,['salt'],[]
Nematalosa come,1611,Austraalia kõverlõugheeringas,['salt'],[]
Nematalosa erebi,1612,Australian river gizzard shad,"['fresh', 'brackish']",[]
Nematalosa flyensis,1613,Dorosoma novoguinejská,['fresh'],[]
Nematalosa galatheae,1614,Cá Mòi,"['fresh', 'brackish', 'salt']",[]
Nematalosa japonica,1615,Andaq,['salt'],[]
Nematalosa nasus,1616,Balangawan,"['fresh', 'brackish', 'salt']",[]
Nematalosa papuensis,1617,Dorosoma papuánská,['fresh'],[]
Nematalosa persara,15798,Dorosoma perská,['salt'],[]
Nematalosa resticularia,15797,Dorosoma arabská,['salt'],[]
Nematalosa vlaminghi,1618,Bony bream,"['brackish', 'salt']",[]
