ScientificName,SpecCode,CommonName,Environments,Subspecies
Centrodraco abstractum,60548,Abstract slope dragonet,['salt'],[]
Centrodraco acanthopoma,24193,North Atlantic slope dragonet,['salt'],[]
Centrodraco atrifilum,65486,,['salt'],[]
Centrodraco fidelis,67935,,['salt'],[]
Centrodraco gegonipus,28089,Sala-y-Gomez slope dragonet,['salt'],[]
Centrodraco insolitus,10589,Uncommon dragonet,['salt'],[]
Centrodraco lineatus,28091,,['salt'],[]
Centrodraco nakaboi,28085,Nakabo's slope dragonet,['salt'],[]
Centrodraco oregonus,28090,Brazilian slope dragonet,['salt'],[]
Centrodraco ornatus,28093,Ornate slope dragonet,['salt'],[]
Centrodraco otohime,59303,Otohime-numeri,['salt'],[]
Centrodraco pseudoxenicus,24194,Hanagasa-numeri,['salt'],[]
Centrodraco rubellus,28094,微紅粗棘蜥,['salt'],[]
Centrodraco striatus,28117,Striped slope dragonet,['salt'],[]
