ScientificName,SpecCode,CommonName,Environments,Subspecies
Anchoviella alleni,1665,Alleni antšoviell,['fresh'],[]
Anchoviella balboae,1667,Anchoa de Balboa,['salt'],[]
Anchoviella blackburni,1668,Blackburni antšoviell,"['brackish', 'salt']",[]
Anchoviella brevirostris,1669,Anchois nez court,"['brackish', 'salt']",[]
Anchoviella carrikeri,1670,Carrikeri antšoviell,['fresh'],[]
Anchoviella cayennensis,1671,Anchois de Cayenne,"['brackish', 'salt']",[]
Anchoviella elongata,1672,Anchois allongé,"['brackish', 'salt']",[]
Anchoviella guianensis,1673,Anchois de Guyane,"['fresh', 'brackish']",[]
Anchoviella hernanni,70106,,['fresh'],[]
Anchoviella jamesi,1674,Jamesi antšoviell,['fresh'],[]
Anchoviella juruasanga,66498,Lühilõug-antšoviell,"['fresh', 'brackish']",[]
Anchoviella lepidentostole,1675,Anchoa ñata,"['fresh', 'brackish', 'salt']",[]
Anchoviella manamensis,1676,Camiguana,"['fresh', 'brackish']",[]
Anchoviella nattereri,1677,Nattereri antšoviell,['brackish'],[]
Anchoviella perezi,61555,Pérezi antšoviell,['brackish'],[]
Anchoviella perfasciata,1678,Anchoa,['salt'],[]
Anchoviella sanfranciscana,68590,,"['fresh', 'brackish']",[]
Anchoviella vaillanti,1679,Manjuba,['fresh'],[]
