ScientificName,SpecCode,CommonName,Environments,Subspecies
Epigonus affinis,54917,Smooth-nose deepwater cardinalfish,['salt'],[]
Epigonus angustifrons,54907,窄叶后竺鲷,['salt'],[]
Epigonus atherinoides,23459,Hira-yasemutsu,['salt'],[]
Epigonus carbonarius,66035,Charcoal deepwater cardinalfish,['salt'],[]
Epigonus cavaticus,63445,Palauan deepwater cardinalfish,['salt'],[]
Epigonus chilensis,66613,,['salt'],[]
Epigonus constanciae,2506,Derinsu kardinal balığı,['salt'],[]
Epigonus crassicaudus,54788,Besugo,['salt'],[]
Epigonus ctenolepis,23460,Naga-yasemutsu,['salt'],[]
Epigonus denticulatus,2507,Bigeye,['salt'],[]
Epigonus devaneyi,54906,德氏后竺鲷,['salt'],[]
Epigonus draco,67837,Dragon deepwater cardinalfish,['salt'],[]
Epigonus elegans,54916,美丽后竺鲷,['salt'],[]
Epigonus elongatus,54911,長身後竺鯛,['salt'],[]
Epigonus exodon,66620,,['salt'],[]
Epigonus fragilis,54899,脆后竺鲷,['salt'],[]
Epigonus glossodontus,54905,齒舌後竺鯛,['salt'],[]
Epigonus heracleus,54915,大力神后竺鲷,['salt'],[]
Epigonus indicus,69352,Indian deepwater cardinalfish,['salt'],[]
Epigonus lenimen,14358,Bigeye,['salt'],[]
Epigonus lifouensis,67049,Loyalty deepwater cardinalfish,['salt'],[]
Epigonus machaera,66614,,['salt'],[]
Epigonus macrops,14837,Cardinal fish,"['brackish', 'salt']",[]
Epigonus marimonticolus,54912,苦味后竺鲷,['salt'],[]
Epigonus marisrubri,65391,Deepwater cardinalfish,['salt'],[]
Epigonus mayeri,66036,Angolan deepwater cardinalfish,['salt'],[]
Epigonus notacanthus,54908,背棘后竺鲷,['salt'],[]
Epigonus occidentalis,54901,Western deepsea cardinalfish,['salt'],[]
Epigonus okamotoi,68507,Okamoto's deepwater cardinalfish,['salt'],[]
Epigonus oligolepis,54902,寡鱗後竺鯛,['salt'],[]
Epigonus pandionis,10770,Bigeye,['salt'],[]
Epigonus parini,54914,褐后竺鲷,['salt'],[]
Epigonus pectinifer,23457,Cardinal fish,['salt'],[]
Epigonus robustus,14365,Cardinal fish,['salt'],[]
Epigonus telescopus,2508,Besoiro,['salt'],[]
Epigonus thai,67355,,['salt'],[]
Epigonus trunovi,67358,,['salt'],[]
Epigonus tuberculatus,67050,Keeling deepwater cardinalfish,['salt'],[]
Epigonus waltersensis,54920,印度后竺鲷,['salt'],[]
