ScientificName,SpecCode,CommonName,Environments,Subspecies
Galaxias aequipinnis,69413,East Gippsland Galaxias,['fresh'],[]
Galaxias anomalus,53170,Põikuv galaks,['fresh'],[]
Galaxias arcanus,69414,Riffle Galaxias,['fresh'],[]
Galaxias argenteus,12245,Giant kokopu,"['fresh', 'brackish', 'salt']",[]
Galaxias auratus,7543,Golden Galaxias,['fresh'],[]
Galaxias brevipinnis,7544,Broad-finned galaxias,"['fresh', 'brackish', 'salt']",[]
Galaxias brevissimus,69415,Short-tail Galaxias,['fresh'],[]
Galaxias cobitinis,61557,Hinkgalaks,['fresh'],[]
Galaxias depressiceps,53172,Lamepea-galaks,['fresh'],[]
Galaxias divergens,12246,Dwarf Galaxias,['fresh'],[]
Galaxias eldoni,53174,Eldoni galaks,['fresh'],[]
Galaxias fasciatus,12247,Banded kokopu,"['fresh', 'brackish', 'salt']",[]
Galaxias fontanus,6201,Swan Galaxias,['fresh'],[]
Galaxias fuscus,68231,Barred Galaxias,['fresh'],[]
Galaxias globiceps,10424,Galaxias,['fresh'],[]
Galaxias gollumoides,61558,Guglunkgalaks,['fresh'],[]
Galaxias gracilis,10425,Dwarf inanga,['fresh'],[]
Galaxias gunaikurnai,69416,Shaw Galaxias,['fresh'],[]
Galaxias johnstoni,6202,Clarence Galaxias,['fresh'],[]
Galaxias lanceolatus,69417,Tapered Galaxias,['fresh'],[]
Galaxias longifundus,69418,West Gippsland Galaxias,['fresh'],[]
Galaxias macronasus,63821,Bignose galaxias,['fresh'],[]
Galaxias maculatus,7579,Almindelig laksegedde,"['fresh', 'brackish', 'salt']",[]
Galaxias mcdowalli,69419,McDowall's Galaxias,['fresh'],[]
Galaxias mungadhan,69420,Dargo Galaxias,['fresh'],[]
Galaxias neocaledonicus,49911,Uuskaledoonia galaks,['fresh'],[]
Galaxias niger,24466,Black Galaxias,['fresh'],[]
Galaxias occidentalis,22570,Läänegalaks,['fresh'],[]
Galaxias olidus,22575,Barred galaxias,['fresh'],[]
Galaxias oliros,69421,Obscure Galaxias,['fresh'],[]
Galaxias ornatus,69410,Ornate Galaxias,['fresh'],[]
Galaxias parvus,6203,Dwarf galaxias,['fresh'],[]
Galaxias paucispondylus,12249,Alpine galaxias,['fresh'],[]
Galaxias pedderensis,6204,Pedder Galaxias,['fresh'],[]
Galaxias platei,47142,Lõunaameerika galaks,"['fresh', 'brackish', 'salt']",[]
Galaxias postvectis,10427,Lühilõug-galaks,"['fresh', 'brackish', 'salt']",[]
Galaxias prognathus,22532,Longjawed galaxias,['fresh'],[]
Galaxias pullus,53173,Tõmmugalaks,['fresh'],[]
Galaxias rostratus,10428,Beaked minnow,['fresh'],[]
Galaxias supremus,69422,Kosciuszko Galaxias,['fresh'],[]
Galaxias tantangara,69423,Stocky Galaxias,['fresh'],[]
Galaxias tanycephalus,6205,Arthurs galaxias,['fresh'],[]
Galaxias terenasus,69424,Roundsnout Galaxias,['fresh'],[]
Galaxias truttaceus,12623,Forellen-Galaxie,"['fresh', 'brackish', 'salt']",[]
Galaxias vulgaris,22531,Common river galaxias,['fresh'],[]
Galaxias zebratus,11050,Berghechtling,['fresh'],[]
