ScientificName,SpecCode,CommonName,Environments,Subspecies
Pseudogastromyzon buas,60804,Búa kupphink,['fresh'],[]
Pseudogastromyzon changtingensis,55026,Fujiani kupphink,['fresh'],[]
Pseudogastromyzon cheni,55707,Cheni kupphink,['fresh'],[]
Pseudogastromyzon daon,60802,Đà kupphink,['fresh'],[]
Pseudogastromyzon elongatus,61371,Sale kupphink,['fresh'],[]
Pseudogastromyzon fangi,55024,Fangi kupphink,['fresh'],[]
Pseudogastromyzon fasciatus,60900,Äâ¸¹Îüöú,['fresh'],[]
Pseudogastromyzon laticeps,55030,Laipea-kupphink,"['fresh', 'brackish']",[]
Pseudogastromyzon lianjiangensis,55028,Lianjiangi kupphink,"['fresh', 'brackish']",[]
Pseudogastromyzon loos,61372,Lô kupphink,['fresh'],[]
Pseudogastromyzon meihuashanensis,60611,Meihuashani kupphink,['fresh'],[]
Pseudogastromyzon myersi,7757,Kirjoimunuoliainen,"['fresh', 'brackish']",[]
Pseudogastromyzon peristictus,55025,Přísavník fengšunský,"['fresh', 'brackish']",[]
