ScientificName,SpecCode,CommonName,Environments,Subspecies
Sewellia albisuera,61685,Tikand-lasnuim,['fresh'],[]
Sewellia analis,65666,Keskvietnami lasnuim,['fresh'],[]
Sewellia breviventralis,58402,Pako lasnuim,['fresh'],[]
Sewellia diardi,58060,Diardi lasnuim,['fresh'],[]
Sewellia elongata,58061,Sale lasnuim,['fresh'],[]
Sewellia lineolata,26831,Juovaimunuoliainen,['fresh'],[]
Sewellia marmorata,56163,Marmor-lasnuim,['fresh'],[]
Sewellia medius,65698,Vahelmine lasnuim,['fresh'],[]
Sewellia patella,58403,Liud-lasnuim,['fresh'],[]
Sewellia pterolineata,58058,Lehvik-lasnuim,['fresh'],[]
Sewellia songboensis,65725,Tiiger-lasnuim,['fresh'],[]
Sewellia speciosa,58059,Nägus lasnuim,['fresh'],[]
Sewellia trakhucensis,65734,Tràkhúci lasnuim,['fresh'],[]
