ScientificName,SpecCode,CommonName,Environments,Subspecies
Eucinostomus argenteus,1049,Acarapicu,"['fresh', 'brackish', 'salt']",[]
Eucinostomus currani,13728,Blanche drapeau du Pacifique,"['fresh', 'brackish', 'salt']",[]
Eucinostomus dowii,46591,Dow's mojarra,"['brackish', 'salt']",[]
Eucinostomus entomelas,13729,Blanche à taches sombres,"['brackish', 'salt']",[]
Eucinostomus gracilis,3565,Blanche gracile,"['fresh', 'brackish', 'salt']",[]
Eucinostomus gula,1050,Acarapicu,"['fresh', 'brackish', 'salt']",[]
Eucinostomus harengulus,55039,Carapicu-açu,"['brackish', 'salt']",[]
Eucinostomus havana,1051,Bigeye mojarra,"['brackish', 'salt']",[]
Eucinostomus jonesii,3567,Carapicu,['salt'],[]
Eucinostomus melanopterus,1052,Apapabora,"['fresh', 'brackish', 'salt']",[]
