ScientificName,SpecCode,CommonName,Environments,Subspecies
Gigantactis balushkini,52857,,['salt'],[]
Gigantactis cheni,69797,Hairy whipnose,['salt'],[]
Gigantactis elsmani,16980,Elsman's whipnose,['salt'],[]
Gigantactis gargantua,23261,Onaga-mogura-ankô,['salt'],[]
Gigantactis gibbsi,16983,吉氏大角鮟鱇,['salt'],[]
Gigantactis golovani,16986,戈氏大角鮟鱇,['salt'],[]
Gigantactis gracilicauda,16988,細尾大角鮟鱇,['salt'],[]
Gigantactis herwigi,52856,,['salt'],[]
Gigantactis ios,16990,鏽色大角鮟鱇,['salt'],[]
Gigantactis kreffti,23259,Kurefuto-ankô,['salt'],[]
Gigantactis longicauda,60273,,['salt'],[]
Gigantactis longicirra,16993,長鬚大角鮟鱇,['salt'],[]
Gigantactis macronema,28245,Enaga-shida-ankou,['salt'],[]
Gigantactis meadi,52849,,['salt'],[]
Gigantactis microdontis,52854,,['salt'],[]
Gigantactis microphthalmus,52861,,['salt'],[]
Gigantactis paxtoni,24773,Paxton's whipnose,['salt'],[]
Gigantactis perlatus,23260,Andon-mogura-ankô,['salt'],[]
Gigantactis savagei,52855,,['salt'],[]
Gigantactis vanhoeffeni,16995,Shida-ankô,['salt'],[]
Gigantactis watermani,16998,沃氏大角鮟鱇,['salt'],[]
